case,policy_seed,portfolio,value_ppo,economic_value_ppo,expected_loss_ppo,value_myopic,economic_value_myopic,expected_loss_myopic,lower_initial_value_higher_total
constant_budget_stress,303,20,-1095.937530723046,432.26825968358327,1068.7174136738597,-2115.6645507611,440.2772130145306,1374.1149442333622,True
constant_budget_stress,303,21,-770.7366638681173,590.4902613484311,1508.6219599919198,-1404.3452494108978,596.116140081609,1760.5758617509114,True
constant_budget_stress,303,22,-673.703590649639,403.0043955786493,1403.7994757680442,-1059.4115985066212,409.7764700331851,1798.8554083595084,True
constant_budget_stress,303,23,-891.8789765442148,509.40481086198713,2098.9171758905422,-1624.192278964036,517.9744382545614,2282.4697748239414,True
normal_loose,101,0,-803.1107809039354,657.626498357303,1859.094416377241,-1098.8301892145996,665.9913856697586,2146.7852559392923,True
normal_loose,101,1,-763.8478043468491,570.7303373661686,2518.710892360006,-1479.573715650293,565.5607405130545,2841.653445862639,False
normal_loose,101,2,-674.5883096474516,-2895.861904775621,1703.1297438809916,-1436.4856503228375,-2952.642428807121,2033.3343686429491,False
normal_loose,101,3,-1210.3536601634764,-3284.9931751200534,1993.079682068471,-1372.6716309418568,-3342.123036781206,2252.735529606732,False
normal_loose,101,4,-1088.7504360086823,577.3293726639938,2287.528171355341,-846.1550891520328,581.2407326244984,2519.6286601381066,False
normal_loose,101,5,-789.8028860267904,569.8053997227089,2356.096427989705,-1157.074513372683,568.7247617346515,2591.3989895501923,False
normal_loose,101,6,-809.1591686965666,618.0250621851285,1599.2787712488082,-862.8584752630687,611.771651634135,1731.6316728652575,False
normal_loose,101,7,-4.391848366634093,771.4190266967628,1737.230362090215,-530.750979254924,764.5944160449249,1921.6814312218996,False
normal_loose,101,8,248.9319163692063,-1360.6615751768434,1963.5860553077075,431.5606746636099,-1406.7594996366847,2145.6076492791703,False
normal_loose,101,9,-381.76610106851234,650.5109958997785,1544.9621078921514,-1549.4736901681656,658.4291288038271,1773.690056558446,True
normal_loose,101,10,-958.5719822400056,771.8242780607383,2558.8889208863147,-1243.1490522185622,758.3643385504705,2786.7923656118915,False
