case,kind,policy,policy_seed,value,revenue,loss,portfolio_loss,reward,default_rate,delinquent_rate,mean_ead,mean_el,budget_utilization,el_violation_rate,any_violation_rate,violation_magnitude,worst_violation,inherited_violation_rate,top_decile_el_share,high_risk_share,increase_rate,decrease_rate,rejection_rate,hard_nonworsening,value_per_ead,decisions,portfolio_months,seconds,solver_exact_fraction,distinct_increase_share,reversals_per_customer,limit_growth,stress_loss,ead_before_stress,true_violation_rate,predicted_safe_true_violated_rate,predicted_violated_true_safe_rate,both_violated_rate,both_safe_rate,true_el_mc_se
buffer_1.0,buffer,BufferedRiskBased,-1,-1740.4382654741012,624.0335874475777,2263.5790319084176,27162.948382901013,-1740.4382654741012,0.9166666666666666,0.2797358218608779,2365.443269773006,116.95297471484123,0.891329420596758,0.4464285714285714,0.6034226190476191,28.728677487934647,127.95021599822546,0.46577380952380953,0.5806442153009276,0.4903223885181398,0.029171237259472522,0.6040506911577859,0.023883643921811824,1.0,-0.7834279811943913,125.75,22.0,0.3314498124964302,1.0,0.09374999999999997,0.062499999999999986,-0.9114064110626254,1380.0971737192012,3400.2624763173994,0.345734126984127,0.05456349206349202,0.15525793650793648,0.2911706349206349,0.4990079365079365,2.876904991390164
buffer_1.0,buffer,Decrease20,-1,-992.3506032608537,362.1500461355479,1297.0825107941457,15564.990129529748,-992.3506032608537,0.9270833333333333,0.28255988401586674,1350.7557969205443,67.81377463960763,0.47733125166279544,0.17441620879120875,0.3625801282051282,8.233369324759327,60.9579524929585,0.20045787545787544,0.572844897075223,0.4927660753037455,0.0,0.8615903413814554,0.0014044943820224625,1.0,-0.769100414347992,115.125,20.25,0.28689662500983104,1.0,0.0,0.0,-0.9910132094219132,411.43995640844355,1243.3867235445334,0.16908195970695966,0.1035141941391941,0.10884844322344321,0.06556776556776553,0.7220695970695971,1.8562413272666198
buffer_1.0,buffer,Greedy,-1,-1892.8495563307567,719.8396178305184,2496.669503732155,29960.034044785865,-1892.8495563307567,0.8645833333333333,0.24713649425537673,2747.074505832801,145.20198829929382,1.1405771464743197,0.5416666666666666,0.6822916666666666,48.59415379526626,197.02994735517552,0.546875,0.5864781344789489,0.5467767391765579,0.16980939572369255,0.14336242081136905,0.14247414401034875,1.0,-0.7260341542286636,139.625,24.0,0.39556865001213737,0.0,0.6458333333333334,0.8229166666666666,-0.8202874950032736,1590.5090936487813,4236.043324003698,0.296875,0.005208333333333325,0.25,0.2916666666666667,0.453125,3.2036190850612134
buffer_1.0,buffer,Myopic,-1,-2092.006188789155,685.5690854598546,2665.3714367550538,31984.45724106064,-2092.006188789155,0.9270833333333333,0.27309183544284515,2493.9059155080927,133.75695913464074,1.041995383668355,0.484375,0.6336805555555556,40.83086390706092,191.02446553794212,0.5104166666666666,0.6153261211343191,0.523832325845241,0.1983160719820491,0.32611097890299345,0.2434211092252023,1.0,-0.8664368038528918,132.25,23.25,0.6239367125090212,1.0,0.7291666666666666,1.9375,-0.8759239816399707,1813.698144423086,4157.167502240457,0.3368055555555556,0.041666666666666664,0.1892361111111111,0.2951388888888889,0.4739583333333333,3.4575524255680263
buffer_1.0,buffer,PPO_hard,101,-1389.5875682166418,528.3857280539518,1833.2011053075587,21998.4132636907,-1389.5875682166418,0.9270833333333334,0.2896378905704886,1764.7542006456079,93.10079792758158,0.6864807725234748,0.30486111111111114,0.4545138888888889,17.70753796051128,92.13310393987808,0.33958333333333335,0.601440755697586,0.4800925689301525,0.0,0.9918438386867905,0.0024509803921568627,1.0,-0.8209556665861203,124.25,22.125,0.33356315000855824,,0.0,0.0,-0.9875000886796937,888.6865831454925,2310.37758154791,0.2652777777777778,0.08090277777777774,0.12048611111111109,0.18437499999999996,0.6142361111111111,2.273857205383939
buffer_1.0,buffer,PPO_hard,202,-1229.1488469593376,532.6612528531274,1676.9143398839922,20122.972078607905,-1229.1488469593376,0.90625,0.29339547479251143,1607.0360436202122,85.74000607360543,0.6445648745967805,0.22743055555555552,0.4444444444444444,12.219563221815594,78.40088897623289,0.24826388888888887,0.5886949703655858,0.539300692565152,0.0,0.3643700398927342,0.0,1.0,-0.7874095360369571,132.375,23.25,0.3611109875055263,,0.0,0.0,-0.9426919191682352,822.5341163878416,1879.4363932526671,0.21874999999999994,0.0850694444444444,0.09374999999999994,0.13368055555555552,0.6875,2.1581018644228704
buffer_1.0,buffer,PPO_hard,303,-992.3506032608537,362.1500461355479,1297.0825107941457,15564.990129529748,-992.3506032608537,0.9270833333333333,0.28255988401586674,1350.7557969205443,67.81377463960763,0.47733125166279544,0.17441620879120875,0.3625801282051282,8.233369324759327,60.9579524929585,0.20045787545787544,0.572844897075223,0.4927660753037455,0.0,0.8615903413814554,0.0014044943820224625,1.0,-0.769100414347992,115.125,20.25,0.3142176250112243,,0.0,0.0,-0.9910132094219132,411.43995640844355,1243.3867235445334,0.16908195970695966,0.1035141941391941,0.10884844322344321,0.06556776556776553,0.7220695970695971,1.8562413272666198
buffer_1.0,buffer,PPO_penalty,101,-991.3129318049561,362.1068923604333,1296.0125852689698,15552.151023227636,-1061.3717501625365,0.9270833333333333,0.28255988401586674,1350.4812922075278,67.81417247586936,0.47733478798512186,0.17441620879120875,0.38043727106227104,8.233369324759327,60.9579524929585,0.20045787545787544,0.5728357123598198,0.4932132028107373,0.0,0.8629948357634779,0.0,0.875,-0.7686200108499472,115.125,20.25,0.3311924375157105,,0.0,0.0,-0.9910132094219132,410.37003088326765,1243.3867235445334,0.16908195970695966,0.1035141941391941,0.10884844322344321,0.06556776556776553,0.7220695970695971,1.8562147015104555
buffer_1.0,buffer,PPO_penalty,202,-991.3129318049561,362.1068923604333,1296.0125852689698,15552.151023227636,-1061.3717501625365,0.9270833333333333,0.28255988401586674,1350.4812922075278,67.81417247586936,0.47733478798512186,0.17441620879120875,0.38043727106227104,8.233369324759327,60.9579524929585,0.20045787545787544,0.5728357123598198,0.4932132028107373,0.0,0.8629948357634779,0.0,0.875,-0.7686200108499472,115.125,20.25,0.318060012490605,,0.0,0.0,-0.9910132094219132,410.37003088326765,1243.3867235445334,0.16908195970695966,0.1035141941391941,0.10884844322344321,0.06556776556776553,0.7220695970695971,1.8562147015104555
buffer_1.0,buffer,PPO_penalty,303,-991.3129318049561,362.1068923604333,1296.0125852689698,15552.151023227636,-1061.3717501625365,0.9270833333333333,0.28255988401586674,1350.4812922075278,67.81417247586936,0.47733478798512186,0.17441620879120875,0.38043727106227104,8.233369324759327,60.9579524929585,0.20045787545787544,0.5728357123598198,0.4932132028107373,0.0,0.8629948357634779,0.0,0.875,-0.7686200108499472,115.125,20.25,0.3229160749760922,,0.0,0.0,-0.9910132094219132,410.37003088326765,1243.3867235445334,0.16908195970695966,0.1035141941391941,0.10884844322344321,0.06556776556776553,0.7220695970695971,1.8562147015104555
