case,reference,policy,metric,portfolios,difference,lower,upper
pd_over,normal_medium,BufferedRiskBased,true_violation_rate,8,0.005208333333333325,-0.013151041666666675,0.031249999999999986
pd_over,normal_medium,Decrease20,true_violation_rate,8,0.03125,0.0,0.0625
pd_over,normal_medium,Greedy,true_violation_rate,8,-0.005208333333333336,-0.015625000000000007,0.0
pd_over,normal_medium,Myopic,true_violation_rate,8,-0.031249999999999997,-0.05208333333333336,-0.01041666666666665
pd_over,normal_medium,PPO_hard,true_violation_rate,8,0.010416666666666666,-0.013888888888888881,0.036458333333333336
pd_over,normal_medium,PPO_penalty,true_violation_rate,8,0.0,0.0,0.0
pd_over,normal_medium,PPO_unconstrained,true_violation_rate,8,0.0,0.0,0.0
pd_over,normal_medium,RiskBased,true_violation_rate,8,0.005208333333333325,-0.013151041666666675,0.031249999999999986
pd_over,normal_medium,Static,true_violation_rate,8,0.0,0.0,0.0
pd_over,normal_medium,BufferedRiskBased,predicted_safe_true_violated_rate,8,-0.01041666666666665,-0.0208333333333333,0.0
pd_over,normal_medium,Decrease20,predicted_safe_true_violated_rate,8,0.0,-0.04166666666666666,0.041666666666666664
pd_over,normal_medium,Greedy,predicted_safe_true_violated_rate,8,-0.005208333333333325,-0.015624999999999976,0.0
pd_over,normal_medium,Myopic,predicted_safe_true_violated_rate,8,-0.005208333333333325,-0.015624999999999976,0.0
pd_over,normal_medium,PPO_hard,predicted_safe_true_violated_rate,8,-0.00520833333333333,-0.026041666666666647,0.01827256944444441
pd_over,normal_medium,PPO_penalty,predicted_safe_true_violated_rate,8,-0.02083333333333334,-0.036458333333333336,-0.01041666666666665
pd_over,normal_medium,PPO_unconstrained,predicted_safe_true_violated_rate,8,-0.02083333333333334,-0.036458333333333336,-0.01041666666666665
pd_over,normal_medium,RiskBased,predicted_safe_true_violated_rate,8,-0.01041666666666665,-0.0208333333333333,0.0
pd_over,normal_medium,Static,predicted_safe_true_violated_rate,8,-0.01041666666666665,-0.026041666666666626,0.0
pd_slope,normal_medium,BufferedRiskBased,value,8,0.9713737138563747,-4.90916672935089,8.756470754255648
pd_slope,normal_medium,Decrease20,value,8,0.0,0.0,0.0
pd_slope,normal_medium,Greedy,value,8,37.54289766214016,-15.918213447252139,124.79584210916894
pd_slope,normal_medium,Myopic,value,8,126.69324870740728,-17.771614675160574,284.64277538628147
pd_slope,normal_medium,PPO_hard,value,8,-7.228066145279359,-35.96939465960226,3.4620082165921127
pd_slope,normal_medium,PPO_penalty,value,8,0.0,0.0,0.0
pd_slope,normal_medium,PPO_unconstrained,value,8,0.0,0.0,0.0
pd_slope,normal_medium,RiskBased,value,8,0.9713737138563747,-4.90916672935089,8.756470754255648
pd_slope,normal_medium,Static,value,8,0.0,0.0,0.0
pd_slope,normal_medium,BufferedRiskBased,el_violation_rate,8,-0.041666666666666685,-0.07812500000000003,-0.010416666666666673
pd_slope,normal_medium,Decrease20,el_violation_rate,8,-0.03645833333333332,-0.06249999999999998,-0.010416666666666663
pd_slope,normal_medium,Greedy,el_violation_rate,8,-0.05208333333333333,-0.06770833333333337,-0.03645833333333331
pd_slope,normal_medium,Myopic,el_violation_rate,8,-0.06770833333333334,-0.09375000000000003,-0.03645833333333335
pd_slope,normal_medium,PPO_hard,el_violation_rate,8,-0.036458333333333336,-0.0642361111111111,-0.01736111111111111
pd_slope,normal_medium,PPO_penalty,el_violation_rate,8,-0.03645833333333332,-0.06523437499999997,-0.015625
pd_slope,normal_medium,PPO_unconstrained,el_violation_rate,8,-0.03645833333333332,-0.06523437499999997,-0.015625
pd_slope,normal_medium,RiskBased,el_violation_rate,8,-0.041666666666666685,-0.07812500000000003,-0.010416666666666673
pd_slope,normal_medium,Static,el_violation_rate,8,-0.06770833333333336,-0.10937500000000003,-0.03125000000000003
pd_slope,normal_medium,BufferedRiskBased,true_violation_rate,8,0.0,0.0,0.0
pd_slope,normal_medium,Decrease20,true_violation_rate,8,0.0,0.0,0.0
pd_slope,normal_medium,Greedy,true_violation_rate,8,0.0,0.0,0.0
pd_slope,normal_medium,Myopic,true_violation_rate,8,3.469446951953614e-18,-0.015624999999999976,0.015624999999999986
pd_slope,normal_medium,PPO_hard,true_violation_rate,8,0.0,0.0,0.0
pd_slope,normal_medium,PPO_penalty,true_violation_rate,8,0.0,0.0,0.0
pd_slope,normal_medium,PPO_unconstrained,true_violation_rate,8,0.0,0.0,0.0
pd_slope,normal_medium,RiskBased,true_violation_rate,8,0.0,0.0,0.0
pd_slope,normal_medium,Static,true_violation_rate,8,0.0,0.0,0.0
pd_slope,normal_medium,BufferedRiskBased,predicted_safe_true_violated_rate,8,0.010416666666666663,0.0,0.020833333333333336
pd_slope,normal_medium,Decrease20,predicted_safe_true_violated_rate,8,0.010416666666666663,0.0,0.0235677083333332
pd_slope,normal_medium,Greedy,predicted_safe_true_violated_rate,8,0.0,0.0,0.0
pd_slope,normal_medium,Myopic,predicted_safe_true_violated_rate,8,0.015624999999999988,0.0,0.036458333333333315
pd_slope,normal_medium,PPO_hard,predicted_safe_true_violated_rate,8,0.015624999999999988,0.0017361111111111084,0.029513888888888885
pd_slope,normal_medium,PPO_penalty,predicted_safe_true_violated_rate,8,0.010416666666666663,0.0,0.02083333333333334
pd_slope,normal_medium,PPO_unconstrained,predicted_safe_true_violated_rate,8,0.010416666666666663,0.0,0.02083333333333334
pd_slope,normal_medium,RiskBased,predicted_safe_true_violated_rate,8,0.010416666666666663,0.0,0.020833333333333336
pd_slope,normal_medium,Static,predicted_safe_true_violated_rate,8,0.010416666666666663,0.0,0.023567708333333215
pd_noise,normal_medium,BufferedRiskBased,value,8,-121.40550292684668,-304.2032967546121,33.7003234460079
pd_noise,normal_medium,Decrease20,value,8,0.0,0.0,0.0
pd_noise,normal_medium,Greedy,value,8,52.37408325619937,-56.11625993964258,166.47777686926293
pd_noise,normal_medium,Myopic,value,8,-64.27075178410178,-135.12399023382605,5.472933335248053
pd_noise,normal_medium,PPO_hard,value,8,-8.320043584938148,-45.51974313379185,10.490464074650816
pd_noise,normal_medium,PPO_penalty,value,8,0.0,0.0,0.0
pd_noise,normal_medium,PPO_unconstrained,value,8,0.0,0.0,0.0
pd_noise,normal_medium,RiskBased,value,8,-121.40550292684668,-304.2032967546121,33.7003234460079
pd_noise,normal_medium,Static,value,8,0.0,0.0,0.0
pd_noise,normal_medium,BufferedRiskBased,el_violation_rate,8,0.036458333333333356,0.007682291666666689,0.06523437499999993
pd_noise,normal_medium,Decrease20,el_violation_rate,8,0.010416666666666678,-0.015624999999999983,0.03645833333333334
pd_noise,normal_medium,Greedy,el_violation_rate,8,0.03645833333333334,0.02083333333333334,0.05208333333333336
pd_noise,normal_medium,Myopic,el_violation_rate,8,0.020833333333333336,-0.020833333333333322,0.057291666666666664
pd_noise,normal_medium,PPO_hard,el_violation_rate,8,0.017361111111111115,-0.009592013888888876,0.048611111111111105
pd_noise,normal_medium,PPO_penalty,el_violation_rate,8,0.010416666666666676,-0.015624999999999981,0.041666666666666664
