case,policy,reference,metric,difference,lower,upper
buffer_1.0,BufferedRiskBased,Static,value,663.6081707831592,531.53155201671,779.6175901318275
buffer_1.0,BufferedRiskBased,Greedy,value,152.41129085665548,1.673377286694904,315.6201220287196
buffer_1.0,BufferedRiskBased,Myopic,value,351.56792331505414,187.56513743862456,516.8908345874695
buffer_1.0,BufferedRiskBased,Decrease20,value,-748.0876622132475,-896.7904594191731,-594.1263553333248
buffer_1.0,BufferedRiskBased,Static,loss,-795.6701689637914,-904.059764353794,-676.9973266152597
buffer_1.0,BufferedRiskBased,Greedy,loss,-233.09047182373754,-371.28005368174695,-114.48974890833313
buffer_1.0,BufferedRiskBased,Myopic,loss,-401.7924048466359,-561.2085197331483,-243.4083874013779
buffer_1.0,BufferedRiskBased,Decrease20,loss,966.4965211142721,834.9910262951076,1123.265061440976
buffer_1.0,BufferedRiskBased,Static,default_rate,0.041666666666666644,-3.5041414214731484e-17,0.08333333333333333
buffer_1.0,BufferedRiskBased,Greedy,default_rate,0.05208333333333333,0.020833333333333315,0.09374999999999999
buffer_1.0,BufferedRiskBased,Myopic,default_rate,-0.010416666666666671,-0.031250000000000014,0.0
buffer_1.0,BufferedRiskBased,Decrease20,default_rate,-0.010416666666666685,-0.041666666666666685,0.026302083333333066
buffer_1.0,BufferedRiskBased,Static,el_violation_rate,-0.18117559523809523,-0.26041666666666663,-0.09743303571428573
buffer_1.0,BufferedRiskBased,Greedy,el_violation_rate,-0.09523809523809523,-0.16940104166666664,-0.02529761904761905
buffer_1.0,BufferedRiskBased,Myopic,el_violation_rate,-0.037946428571428555,-0.11458333333333331,0.027641369047618956
buffer_1.0,BufferedRiskBased,Decrease20,el_violation_rate,0.27201236263736267,0.20061870421245423,0.3441849816849817
buffer_1.0,BufferedRiskBased,Static,true_violation_rate,-0.04228670634920636,-0.12198350694444444,0.04241071428571428
buffer_1.0,BufferedRiskBased,Greedy,true_violation_rate,0.04885912698412699,-0.005208333333333336,0.10491071428571427
buffer_1.0,BufferedRiskBased,Myopic,true_violation_rate,0.008928571428571418,-0.0625,0.08407738095238096
buffer_1.0,BufferedRiskBased,Decrease20,true_violation_rate,0.17665216727716732,0.06959678342490846,0.27866128663003664
buffer_1.0,Decrease20,Static,value,1411.6958329964066,1260.799228239423,1553.3566771889602
buffer_1.0,Decrease20,Greedy,value,900.4989530699029,802.4217435082011,1008.9565589291792
buffer_1.0,Decrease20,Myopic,value,1099.6555855283016,914.623830251803,1269.1056570969197
buffer_1.0,Decrease20,Static,loss,-1762.1666900780635,-1878.8874776952032,-1632.0996779086686
buffer_1.0,Decrease20,Greedy,loss,-1199.5869929380096,-1307.771894708107,-1093.6380639650172
buffer_1.0,Decrease20,Myopic,loss,-1368.288925960908,-1530.2840246591181,-1174.0091005532313
buffer_1.0,Decrease20,Static,default_rate,0.05208333333333333,0.010416666666666644,0.09375000000000001
buffer_1.0,Decrease20,Greedy,default_rate,0.06250000000000001,0.03125,0.10416666666666667
buffer_1.0,Decrease20,Myopic,default_rate,1.3877787807814457e-17,-0.031249999999999972,0.020833333333333363
buffer_1.0,Decrease20,Static,el_violation_rate,-0.4531879578754579,-0.5502734375,-0.3456858115842491
buffer_1.0,Decrease20,Greedy,el_violation_rate,-0.36725045787545796,-0.491328125,-0.2463221153846154
buffer_1.0,Decrease20,Myopic,el_violation_rate,-0.3099587912087912,-0.4072916666666667,-0.20313358516483523
buffer_1.0,Decrease20,Static,true_violation_rate,-0.21893887362637365,-0.3117508012820513,-0.1295163690476191
buffer_1.0,Decrease20,Greedy,true_violation_rate,-0.1277930402930403,-0.20977163461538464,-0.048925423534798555
buffer_1.0,Decrease20,Myopic,true_violation_rate,-0.1677235958485959,-0.25815829136141644,-0.09401881105006107
buffer_1.0,Greedy,Static,value,511.19687992650364,319.6896202011075,681.0813667951305
buffer_1.0,Greedy,Myopic,value,199.15663245839863,58.25649656482947,315.1223747758876
buffer_1.0,Greedy,Decrease20,value,-900.4989530699029,-1008.9565589291792,-802.4217435082011
buffer_1.0,Greedy,Static,loss,-562.5796971400539,-730.1109202690664,-383.24642036908034
buffer_1.0,Greedy,Myopic,loss,-168.70193302289837,-276.0027589083349,-27.669016797899157
buffer_1.0,Greedy,Decrease20,loss,1199.5869929380096,1093.638063965017,1307.771894708107
buffer_1.0,Greedy,Static,default_rate,-0.010416666666666685,-0.041666666666666685,0.020833333333333315
buffer_1.0,Greedy,Myopic,default_rate,-0.0625,-0.10416666666666664,-0.031249999999999986
buffer_1.0,Greedy,Decrease20,default_rate,-0.06250000000000001,-0.10416666666666667,-0.03125
buffer_1.0,Greedy,Static,el_violation_rate,-0.08593749999999999,-0.12760416666666663,-0.03769531250000005
