policy,feature,bucket,decisions,requested_change,effective_change,increase_rate,rejection_rate
BufferedRiskBased,utilization,"(0.5, 0.75]",729,-0.034156378600823004,-0.034567901234567856,0.04252400548696845,0.00411522633744856
BufferedRiskBased,utilization,"(0.75, 1.0]",1360,-0.05286764705882347,-0.05289273297097241,0.011029411764705883,0.0007352941176470588
BufferedRiskBased,utilization,"(1.0, inf]",446,-0.0937219730941703,-0.09370239718485841,0.0,0.0
Decrease20,utilization,"(-0.001, 0.25]",108,-0.19999999999999987,-0.19999999999999987,0.0,0.0
Decrease20,utilization,"(0.25, 0.5]",262,-0.19999999999999987,-0.19999999999999987,0.0,0.0
Decrease20,utilization,"(0.5, 0.75]",321,-0.19999999999999993,-0.19626168224299056,0.0,0.003115264797507788
Decrease20,utilization,"(0.75, 1.0]",2057,-0.19999999999999987,-0.09473043098737102,0.0,0.0004861448711716091
Decrease20,utilization,"(1.0, inf]",895,-0.19999999999999987,-0.1665151391868285,0.0,0.0
Greedy,utilization,"(-0.001, 0.25]",1153,0.047441457068516914,0.03479109769221776,0.37294015611448394,0.05897658282740677
Greedy,utilization,"(0.25, 0.5]",1530,0.05019607843137254,0.034482512420270055,0.36470588235294116,0.11764705882352941
Greedy,utilization,"(0.5, 0.75]",722,0.030470914127423827,0.014475418274814446,0.31163434903047094,0.1481994459833795
Greedy,utilization,"(0.75, 1.0]",895,-0.04625698324022342,-0.050949720670391024,0.24916201117318434,0.04581005586592179
Greedy,utilization,"(1.0, inf]",158,0.07974683544303796,0.06772151898734174,0.5506329113924051,0.12025316455696203
Myopic,utilization,"(-0.001, 0.25]",997,0.02888665997993981,0.02116610455593117,0.2678034102306921,0.029087261785356068
Myopic,utilization,"(0.25, 0.5]",1424,0.05393258426966291,0.029828244806286163,0.34691011235955055,0.13412921348314608
Myopic,utilization,"(0.5, 0.75]",1029,0.09086491739552961,0.046809212723841226,0.391642371234208,0.2536443148688047
Myopic,utilization,"(0.75, 1.0]",866,0.019861431870669743,-0.006180072044273913,0.30138568129330257,0.1558891454965358
Myopic,utilization,"(1.0, inf]",134,0.14253731343283574,0.07462686567164176,0.3805970149253731,0.3656716417910448
PPO_hard,utilization,"(-0.001, 0.25]",376,-0.14574468085106373,-0.14574468085106373,0.0,0.0
PPO_hard,utilization,"(0.25, 0.5]",1071,-0.13398692810457508,-0.13398692810457505,0.0,0.0
PPO_hard,utilization,"(0.5, 0.75]",1387,-0.12667627974044693,-0.12573900504686364,0.0,0.0007209805335255948
PPO_hard,utilization,"(0.75, 1.0]",7195,-0.1004308547602501,-0.06808680979312576,0.0,0.0002779708130646282
PPO_hard,utilization,"(1.0, inf]",2044,-0.13512720156555763,-0.11942183879084046,0.0,0.0
PPO_penalty,utilization,"(-0.001, 0.25]",324,-0.19999999999999996,-0.1999999999999999,0.0,0.0
PPO_penalty,utilization,"(0.25, 0.5]",786,-0.1999999999999999,-0.1999999999999999,0.0,0.0
PPO_penalty,utilization,"(0.5, 0.75]",963,-0.19999999999999987,-0.19688473520249208,0.0,0.0
