case,kind,policy,value,revenue,loss,portfolio_loss,reward,default_rate,delinquent_rate,mean_ead,mean_el,budget_utilization,el_violation_rate,any_violation_rate,violation_magnitude,worst_violation,inherited_violation_rate,top_decile_el_share,high_risk_share,increase_rate,decrease_rate,rejection_rate,hard_nonworsening,value_per_ead,decisions,portfolio_months,seconds,solver_exact_fraction,distinct_increase_share,reversals_per_customer,limit_growth,stress_loss,ead_before_stress,true_violation_rate,predicted_safe_true_violated_rate,predicted_violated_true_safe_rate,both_violated_rate,both_safe_rate,true_el_mc_se
buffer_1.0,buffer,BufferedRiskBased,-1740.4382654741012,624.0335874475777,2263.5790319084176,27162.948382901013,-1740.4382654741012,0.9166666666666666,0.2797358218608779,2365.443269773006,116.95297471484123,0.891329420596758,0.4464285714285714,0.6034226190476191,28.728677487934647,127.95021599822546,0.46577380952380953,0.5806442153009276,0.4903223885181398,0.029171237259472522,0.6040506911577859,0.023883643921811824,1.0,-0.7834279811943913,125.75,22.0,0.3314498124964302,1.0,0.09374999999999997,0.062499999999999986,-0.9114064110626254,1380.0971737192012,3400.2624763173994,0.345734126984127,0.05456349206349202,0.15525793650793648,0.2911706349206349,0.4990079365079365,2.876904991390164
buffer_1.0,buffer,Decrease20,-992.3506032608537,362.1500461355479,1297.0825107941457,15564.990129529748,-992.3506032608537,0.9270833333333333,0.28255988401586674,1350.7557969205443,67.81377463960763,0.47733125166279544,0.17441620879120875,0.3625801282051282,8.233369324759327,60.9579524929585,0.20045787545787544,0.572844897075223,0.4927660753037455,0.0,0.8615903413814554,0.0014044943820224625,1.0,-0.769100414347992,115.125,20.25,0.28689662500983104,1.0,0.0,0.0,-0.9910132094219132,411.43995640844355,1243.3867235445334,0.16908195970695966,0.1035141941391941,0.10884844322344321,0.06556776556776553,0.7220695970695971,1.8562413272666198
buffer_1.0,buffer,Greedy,-1892.8495563307567,719.8396178305184,2496.669503732155,29960.034044785865,-1892.8495563307567,0.8645833333333333,0.24713649425537673,2747.074505832801,145.20198829929382,1.1405771464743197,0.5416666666666666,0.6822916666666666,48.59415379526626,197.02994735517552,0.546875,0.5864781344789489,0.5467767391765579,0.16980939572369255,0.14336242081136905,0.14247414401034875,1.0,-0.7260341542286636,139.625,24.0,0.39556865001213737,0.0,0.6458333333333334,0.8229166666666666,-0.8202874950032736,1590.5090936487813,4236.043324003698,0.296875,0.005208333333333325,0.25,0.2916666666666667,0.453125,3.2036190850612134
buffer_1.0,buffer,Myopic,-2092.006188789155,685.5690854598546,2665.3714367550538,31984.45724106064,-2092.006188789155,0.9270833333333333,0.27309183544284515,2493.9059155080927,133.75695913464074,1.041995383668355,0.484375,0.6336805555555556,40.83086390706092,191.02446553794212,0.5104166666666666,0.6153261211343191,0.523832325845241,0.1983160719820491,0.32611097890299345,0.2434211092252023,1.0,-0.8664368038528918,132.25,23.25,0.6239367125090212,1.0,0.7291666666666666,1.9375,-0.8759239816399707,1813.698144423086,4157.167502240457,0.3368055555555556,0.041666666666666664,0.1892361111111111,0.2951388888888889,0.4739583333333333,3.4575524255680263
buffer_1.0,buffer,PPO_hard,-1203.6956728122777,474.399009014209,1602.3993186618989,19228.791823942785,-1203.6956728122777,0.9201388888888888,0.2885310831262889,1574.182013728788,82.21819288026488,0.6027922995943502,0.2355692918192918,0.4205128205128205,12.7201568356954,77.16398180302316,0.2627683658933659,0.5876602077127983,0.50405311226635,0.0,0.7392680733203267,0.001285158258059775,1.0,-0.7924885389903564,123.91666666666667,21.875,0.336297254175103,,0.0,0.0,-0.9737350724232807,707.5535519805926,1811.0668994483701,0.21770324582824582,0.08982880545380541,0.10769485144485141,0.12787444037444032,0.6746019027269027,2.096066799024477
buffer_1.0,buffer,PPO_penalty,-991.3129318049561,362.1068923604333,1296.0125852689698,15552.151023227636,-1061.3717501625365,0.9270833333333334,0.28255988401586674,1350.4812922075278,67.81417247586936,0.4773347879851218,0.17441620879120875,0.38043727106227104,8.233369324759327,60.9579524929585,0.20045787545787544,0.5728357123598198,0.4932132028107373,0.0,0.8629948357634779,0.0,0.875,-0.7686200108499474,115.125,20.25,0.3240561749941359,,0.0,0.0,-0.9910132094219132,410.37003088326765,1243.3867235445334,0.16908195970695963,0.1035141941391941,0.10884844322344321,0.06556776556776553,0.7220695970695971,1.8562147015104555
buffer_1.0,buffer,PPO_unconstrained,-991.3129318049561,362.1068923604333,1296.0125852689698,15552.151023227636,-991.3129318049561,0.9270833333333334,0.28255988401586674,1350.4812922075278,67.81417247586936,0.4773347879851218,0.17441620879120875,0.38043727106227104,8.233369324759327,60.9579524929585,0.20045787545787544,0.5728357123598198,0.4932132028107373,0.0,0.8629948357634779,0.0,0.875,-0.7686200108499474,115.125,20.25,0.32643798332234536,,0.0,0.0,-0.9910132094219132,410.37003088326765,1243.3867235445334,0.16908195970695963,0.1035141941391941,0.10884844322344321,0.06556776556776553,0.7220695970695971,1.8562147015104555
buffer_1.0,buffer,RiskBased,-1740.4382654741012,624.0335874475777,2263.5790319084176,27162.948382901013,-1740.4382654741012,0.9166666666666666,0.2797358218608779,2365.443269773006,116.95297471484123,0.891329420596758,0.4464285714285714,0.6034226190476191,28.728677487934647,127.95021599822546,0.46577380952380953,0.5806442153009276,0.4903223885181398,0.029171237259472522,0.6040506911577859,0.023883643921811824,1.0,-0.7834279811943913,125.75,22.0,0.3229086000210373,1.0,0.09374999999999997,0.062499999999999986,-0.9114064110626254,1380.0971737192012,3400.2624763173994,0.345734126984127,0.05456349206349202,0.15525793650793648,0.2911706349206349,0.4990079365079365,2.876904991390164
buffer_1.0,buffer,Static,-2404.04643625726,784.2090594336595,3059.2492008722093,36710.99041046651,-2404.04643625726,0.875,0.24358812483013634,2884.8776351319607,165.95283475123358,1.3057057723705197,0.6276041666666666,0.765625,63.37199228012822,279.84383444196976,0.6276041666666666,0.549967368618008,0.5985507099974172,0.0,0.0,0.0,1.0,-0.8609158036131608,135.0,23.0,0.34738572499190923,1.0,0.0,0.0,-0.8692202940082769,2052.89510371067,4408.411703582264,0.3880208333333333,0.03645833333333333,0.27604166666666663,0.3515625,0.3359375,4.193773400548193
buffer_1.1,buffer,BufferedRiskBased,-1740.4382654741012,624.0335874475777,2263.5790319084176,27162.948382901013,-1740.4382654741012,0.9166666666666666,0.2797358218608779,2365.443269773006,116.95297471484123,0.891329420596758,0.4464285714285714,0.6034226190476191,28.728677487934647,127.95021599822546,0.46577380952380953,0.5806442153009276,0.4903223885181398,0.029171237259472522,0.6040506911577859,0.023883643921811824,1.0,-0.7834279811943913,125.75,22.0,0.3060177499864949,1.0,0.09374999999999997,0.062499999999999986,-0.9114064110626254,1380.0971737192012,3400.2624763173994,0.345734126984127,0.05456349206349202,0.15525793650793648,0.2911706349206349,0.4990079365079365,2.876904991390164
