case,policy,true_classification_uncertain
portfolio_world_1,Decrease20,0.04294871794871795
portfolio_world_1,Greedy,0.03645833333333333
portfolio_world_1,Myopic,0.07514880952380952
portfolio_world_1,PPO_hard,0.04662189662189662
portfolio_world_1,PPO_penalty,0.04294871794871794
portfolio_world_1,PPO_unconstrained,0.04294871794871794
portfolio_world_1,RiskBased,0.04309752747252747
portfolio_world_1,Static,0.05729166666666666
portfolio_world_2,BufferedRiskBased,0.028645833333333332
portfolio_world_2,Decrease20,0.03729395604395604
portfolio_world_2,Greedy,0.03645833333333333
portfolio_world_2,Myopic,0.0390625
portfolio_world_2,PPO_hard,0.03351266788766789
portfolio_world_2,PPO_penalty,0.03729395604395604
portfolio_world_2,PPO_unconstrained,0.03729395604395604
portfolio_world_2,RiskBased,0.028645833333333332
portfolio_world_2,Static,0.028645833333333332
size_24,BufferedRiskBased,0.013888888888888888
size_24,Decrease20,0.008680555555555554
size_24,Greedy,0.020833333333333332
size_24,Myopic,0.012152777777777776
size_24,PPO_hard,0.01273148148148148
size_24,PPO_penalty,0.008680555555555556
size_24,PPO_unconstrained,0.008680555555555556
size_24,RiskBased,0.013888888888888888
size_24,Static,0.026041666666666668
size_8,BufferedRiskBased,0.01909722222222222
size_8,Decrease20,0.005208333333333333
size_8,Greedy,0.012152777777777776
size_8,Myopic,0.013888888888888888
size_8,PPO_hard,0.011574074074074073
size_8,PPO_penalty,0.005208333333333333
size_8,PPO_unconstrained,0.005208333333333333
size_8,RiskBased,0.01909722222222222
size_8,Static,0.01736111111111111
stress_loose,BufferedRiskBased,0.028645833333333332
stress_loose,Decrease20,0.006944444444444444
stress_loose,Greedy,0.021701388888888885
stress_loose,Myopic,0.03611111111111111
stress_loose,PPO_hard,0.009799382716049382
stress_loose,PPO_penalty,0.006944444444444444
stress_loose,PPO_unconstrained,0.006944444444444444
stress_loose,RiskBased,0.028645833333333332
stress_loose,Static,0.019965277777777776
stress_medium,BufferedRiskBased,0.01966089466089466
stress_medium,Decrease20,0.018718434343434343
stress_medium,Greedy,0.03670634920634921
stress_medium,Myopic,0.03896697235513025
stress_medium,PPO_hard,0.025275727359060692
stress_medium,PPO_penalty,0.018718434343434343
stress_medium,PPO_unconstrained,0.018718434343434343
stress_medium,RiskBased,0.01966089466089466
stress_medium,Static,0.053225709475709475
stress_tight,BufferedRiskBased,0.0641647126022126
stress_tight,Decrease20,0.03395046108861898
stress_tight,Greedy,0.05885642135642136
stress_tight,Myopic,0.06473749812565602
stress_tight,PPO_hard,0.04585961674777464
stress_tight,PPO_penalty,0.03395046108861898
stress_tight,PPO_unconstrained,0.03395046108861898
stress_tight,RiskBased,0.0641647126022126
stress_tight,Static,0.06074885762385762
