case,policy,ead_violation,high_risk_violation
pd_under,Decrease20,0.0,0.0
pd_under,Greedy,0.0,0.0
pd_under,Myopic,0.0,0.0
pd_under,PPO_hard,0.0,0.0
pd_under,PPO_penalty,0.0,0.0
pd_under,PPO_unconstrained,0.0,0.0
pd_under,RiskBased,0.0,0.0
pd_under,Static,0.0,0.0
portfolio_world_0,BufferedRiskBased,0.0,0.20520833333333333
portfolio_world_0,Decrease20,0.0,0.1585164835164835
portfolio_world_0,Greedy,0.0,0.265625
portfolio_world_0,Myopic,0.0,0.22604166666666667
portfolio_world_0,PPO_hard,0.0,0.19577864265364264
portfolio_world_0,PPO_penalty,0.0,0.16744505494505493
portfolio_world_0,PPO_unconstrained,0.0,0.16744505494505493
portfolio_world_0,RiskBased,0.0,0.20520833333333333
portfolio_world_0,Static,0.0,0.2864583333333333
portfolio_world_1,BufferedRiskBased,0.0,0.21033653846153844
portfolio_world_1,Decrease20,0.0,0.15248397435897434
portfolio_world_1,Greedy,0.0,0.16666666666666666
portfolio_world_1,Myopic,0.0,0.21502976190476192
portfolio_world_1,PPO_hard,0.0,0.17129375254375254
portfolio_world_1,PPO_penalty,0.0,0.16290064102564103
portfolio_world_1,PPO_unconstrained,0.0,0.16290064102564103
portfolio_world_1,RiskBased,0.0,0.21033653846153844
portfolio_world_1,Static,0.0,0.26041666666666663
portfolio_world_2,BufferedRiskBased,0.0,0.17287660256410256
portfolio_world_2,Decrease20,0.0,0.12354624542124543
portfolio_world_2,Greedy,0.0,0.19791666666666666
portfolio_world_2,Myopic,0.0,0.16766826923076922
portfolio_world_2,PPO_hard,0.0,0.17084478021978022
portfolio_world_2,PPO_penalty,0.0,0.12354624542124543
portfolio_world_2,PPO_unconstrained,0.0,0.12354624542124543
portfolio_world_2,RiskBased,0.0,0.17287660256410256
portfolio_world_2,Static,0.0,0.20853365384615385
size_24,BufferedRiskBased,0.0,0.0
size_24,Decrease20,0.0,0.0
size_24,Greedy,0.0,0.0
size_24,Myopic,0.0,0.0
size_24,PPO_hard,0.0,0.0
size_24,PPO_penalty,0.0,0.0
size_24,PPO_unconstrained,0.0,0.0
size_24,RiskBased,0.0,0.0
size_24,Static,0.0,0.0
size_8,BufferedRiskBased,0.0,0.006944444444444444
size_8,Decrease20,0.0,0.027777777777777776
size_8,Greedy,0.0,0.012152777777777778
size_8,Myopic,0.008680555555555556,0.010416666666666666
size_8,PPO_hard,0.0,0.02025462962962963
size_8,PPO_penalty,0.0,0.03125
size_8,PPO_unconstrained,0.0,0.03125
size_8,RiskBased,0.0,0.006944444444444444
size_8,Static,0.005208333333333333,0.022569444444444444
stress_loose,BufferedRiskBased,0.0,0.19194838726088725
stress_loose,Decrease20,0.0,0.1730848099269152
stress_loose,Greedy,0.0,0.2261904761904762
stress_loose,Myopic,0.0,0.2470238095238095
stress_loose,PPO_hard,0.0,0.1968215406263652
stress_loose,PPO_penalty,0.0,0.18077330199040725
stress_loose,PPO_unconstrained,0.0,0.18077330199040725
stress_loose,RiskBased,0.0,0.19194838726088725
stress_loose,Static,0.0,0.26509514790764793
stress_medium,BufferedRiskBased,0.0,0.19338098244348245
stress_medium,Decrease20,0.0,0.1730848099269152
stress_medium,Greedy,0.0,0.21125228937728938
stress_medium,Myopic,0.0,0.20437655059365586
stress_medium,PPO_hard,0.0,0.1950854295152541
stress_medium,PPO_penalty,0.0,0.18077330199040725
stress_medium,PPO_unconstrained,0.0,0.18077330199040725
stress_medium,RiskBased,0.0,0.19338098244348245
stress_medium,Static,0.0,0.26509514790764793
stress_tight,BufferedRiskBased,0.0,0.20156550625300626
stress_tight,Decrease20,0.0,0.1730848099269152
stress_tight,Greedy,0.0,0.2287202380952381
stress_tight,Myopic,0.0,0.21328849241000944
stress_tight,PPO_hard,0.0,0.19735963354384406
stress_tight,PPO_penalty,0.0,0.18077330199040725
stress_tight,PPO_unconstrained,0.0,0.18077330199040725
stress_tight,RiskBased,0.0,0.20156550625300626
stress_tight,Static,0.0,0.26509514790764793
