policy,reference,scenario,metric,difference,lower,upper,fraction_customers_positive,information_set
AlwaysDecrease20,MyopicEconomic,baseline,cumulative_reward,3156.2570403921077,2686.6493223079624,3622.2784075158443,0.7566666666666667,OBSERVABLE_ONLY
AlwaysDecrease20,MyopicEconomic,baseline,net_economic_value,505.8174549610585,273.49407249950264,696.2303481870908,0.5133333333333333,OBSERVABLE_ONLY
AlwaysDecrease20,MyopicEconomic,baseline,credit_loss,-1085.4100643517775,-1260.9911332409843,-865.9808967701177,0.16333333333333333,OBSERVABLE_ONLY
AlwaysDecrease20,MyopicEconomic,baseline,defaulted,0.14333333333333334,0.10666666666666667,0.19,0.15,OBSERVABLE_ONLY
AlwaysIncrease,MyopicEconomic,baseline,cumulative_reward,-819.7764095455244,-1088.3811177943783,-530.7933076693984,0.26,OBSERVABLE_ONLY
AlwaysIncrease,MyopicEconomic,baseline,net_economic_value,-417.85820106013404,-549.2824226159228,-301.47665606370225,0.43333333333333335,OBSERVABLE_ONLY
AlwaysIncrease,MyopicEconomic,baseline,credit_loss,446.713698178814,328.0823700877412,570.9344142010228,0.4266666666666667,OBSERVABLE_ONLY
AlwaysIncrease,MyopicEconomic,baseline,defaulted,0.023333333333333334,0.006666666666666667,0.043333333333333335,0.02666666666666667,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,baseline,cumulative_reward,1840.2811736955769,1431.4492835712254,2199.7951119204586,0.5866666666666667,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,baseline,net_economic_value,457.2740049125202,245.62524864584682,631.8108112871051,0.6866666666666666,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,baseline,credit_loss,-679.794854786574,-837.2068990857621,-458.7217452128763,0.18666666666666668,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,baseline,defaulted,0.07,0.04,0.11174999999999992,0.08666666666666667,OBSERVABLE_ONLY
PPO,MyopicEconomic,baseline,cumulative_reward,3156.257040392108,2660.314539942454,3634.7153136202023,0.7566666666666667,OBSERVABLE_ONLY
PPO,MyopicEconomic,baseline,net_economic_value,505.8174549610585,276.46190875852676,706.0798528762083,0.5133333333333333,OBSERVABLE_ONLY
PPO,MyopicEconomic,baseline,credit_loss,-1085.4100643517775,-1282.2562802707662,-870.3193390404442,0.16333333333333333,OBSERVABLE_ONLY
PPO,MyopicEconomic,baseline,defaulted,0.14333333333333334,0.10491666666666667,0.19174999999999992,0.15,OBSERVABLE_ONLY
PPO_without_PD,MyopicEconomic,baseline,cumulative_reward,3156.257040392108,2660.314539942454,3634.7153136202023,0.7566666666666667,OBSERVABLE_ONLY
PPO_without_PD,MyopicEconomic,baseline,net_economic_value,505.8174549610585,276.46190875852676,706.0798528762083,0.5133333333333333,OBSERVABLE_ONLY
PPO_without_PD,MyopicEconomic,baseline,credit_loss,-1085.4100643517775,-1282.2562802707662,-870.3193390404442,0.16333333333333333,OBSERVABLE_ONLY
PPO_without_PD,MyopicEconomic,baseline,defaulted,0.14333333333333334,0.10491666666666667,0.19174999999999992,0.15,OBSERVABLE_ONLY
Random,MyopicEconomic,baseline,cumulative_reward,645.1602544307717,281.0109992303703,976.3890544344887,0.41333333333333333,OBSERVABLE_ONLY
Random,MyopicEconomic,baseline,net_economic_value,-9.3892763413391,-195.2398233108999,155.84962836211662,0.5733333333333334,OBSERVABLE_ONLY
Random,MyopicEconomic,baseline,credit_loss,-122.89682070819968,-279.7588109884105,61.23330672464225,0.3233333333333333,OBSERVABLE_ONLY
Random,MyopicEconomic,baseline,defaulted,0.07333333333333333,0.03825,0.11174999999999992,0.09,OBSERVABLE_ONLY
SIMULATOR_ONLY_ORACLE_Myopic,MyopicEconomic,baseline,cumulative_reward,670.5276670489297,362.4546519088605,1003.0874536462102,0.3466666666666667,SIMULATOR_ONLY_ORACLE
SIMULATOR_ONLY_ORACLE_Myopic,MyopicEconomic,baseline,net_economic_value,128.70084464035273,10.095603559638901,247.20425345036227,0.48,SIMULATOR_ONLY_ORACLE
SIMULATOR_ONLY_ORACLE_Myopic,MyopicEconomic,baseline,credit_loss,-220.28698625556834,-344.39300745643067,-99.94615087185731,0.19666666666666666,SIMULATOR_ONLY_ORACLE
SIMULATOR_ONLY_ORACLE_Myopic,MyopicEconomic,baseline,defaulted,-0.006666666666666667,-0.02,0.01,0.006666666666666667,SIMULATOR_ONLY_ORACLE
Static,MyopicEconomic,baseline,cumulative_reward,-68.86503095589234,-431.79439309953506,224.75735280517335,0.33666666666666667,OBSERVABLE_ONLY
Static,MyopicEconomic,baseline,net_economic_value,-94.09449049916901,-257.60489041430293,74.30677886545872,0.6133333333333333,OBSERVABLE_ONLY
Static,MyopicEconomic,baseline,credit_loss,45.957945455300575,-97.67830144030312,206.92201084780245,0.36666666666666664,OBSERVABLE_ONLY
Static,MyopicEconomic,baseline,defaulted,0.07,0.03825,0.10508333333333326,0.08,OBSERVABLE_ONLY
UtilizationPD,MyopicEconomic,baseline,cumulative_reward,1815.789104808604,1404.0417708748898,2172.7941088325747,0.58,OBSERVABLE_ONLY
UtilizationPD,MyopicEconomic,baseline,net_economic_value,432.3656985818254,207.47187730176452,609.0742397610666,0.6866666666666666,OBSERVABLE_ONLY
UtilizationPD,MyopicEconomic,baseline,credit_loss,-658.2944751012291,-821.2650083967457,-442.67315062423,0.19333333333333333,OBSERVABLE_ONLY
UtilizationPD,MyopicEconomic,baseline,defaulted,0.08,0.04666666666666667,0.12333333333333334,0.09666666666666666,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,baseline_biased_pd,cumulative_reward,-48.89918329606115,-389.2465128013752,236.08726237085062,0.3333333333333333,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,baseline_biased_pd,net_economic_value,-95.57456627545783,-262.5987093897459,49.500862575939045,0.5966666666666667,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,baseline_biased_pd,credit_loss,44.71323187631146,-94.55219711002336,188.7891301197934,0.37,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,baseline_biased_pd,defaulted,0.06666666666666667,0.04,0.09666666666666666,0.07,OBSERVABLE_ONLY
PPO,MyopicEconomic,baseline_biased_pd,cumulative_reward,3148.785516367695,2663.185431058801,3631.8867312290613,0.7533333333333333,OBSERVABLE_ONLY
PPO,MyopicEconomic,baseline_biased_pd,net_economic_value,500.94550144117295,282.20845943824264,696.529188596934,0.5133333333333333,OBSERVABLE_ONLY
PPO,MyopicEconomic,baseline_biased_pd,credit_loss,-1084.6809425785154,-1280.2839321664276,-876.6454755643471,0.16666666666666666,OBSERVABLE_ONLY
PPO,MyopicEconomic,baseline_biased_pd,defaulted,0.14666666666666667,0.10825,0.19666666666666666,0.15333333333333332,OBSERVABLE_ONLY
AlwaysDecrease,Static,mild_stress,cumulative_reward,2317.116712931745,1971.5725528087223,2735.7330871897384,0.8,OBSERVABLE_ONLY
AlwaysDecrease,Static,mild_stress,net_economic_value,585.1720285254585,415.5465013842931,750.6523487372866,0.6666666666666666,OBSERVABLE_ONLY
AlwaysDecrease,Static,mild_stress,credit_loss,-877.0187843844046,-1031.74099712159,-743.5657458986781,0.09,OBSERVABLE_ONLY
AlwaysDecrease,Static,mild_stress,defaulted,0.03,-0.0033333333333333335,0.06333333333333334,0.06,OBSERVABLE_ONLY
AlwaysDecrease20,Static,mild_stress,cumulative_reward,3229.3173230445045,2834.841645204014,3677.5073903663965,0.8466666666666667,OBSERVABLE_ONLY
AlwaysDecrease20,Static,mild_stress,net_economic_value,727.5539603625186,521.9270332248999,910.6542714070267,0.68,OBSERVABLE_ONLY
AlwaysDecrease20,Static,mild_stress,credit_loss,-1183.9692318661978,-1354.909362717205,-1011.7745056426328,0.12333333333333334,OBSERVABLE_ONLY
