world_id,world_kind,signal,policy,information_set,episodes,customer_months,cumulative_reward,discounted_reward,net_economic_value,revenue,credit_loss,funding_cost,capital_charge,constraint_penalty,mean_balance,mean_limit,mean_utilization,limit_changes,reversals,default_rate,ever_delinquent_rate,delinquent_month_rate,credit_loss_rate,mean_exposure_at_default,mean_predicted_pd,high_risk_exposure_share,increase_fraction,decrease_fraction,no_change_fraction,requested_change,effective_change,mean_absolute_change,delinquent_increase_fraction,severe_delinquent_increases,blocked_fraction,mean_limit_growth
macro_early,macro,identity,AlwaysDecrease,OBSERVABLE_ONLY,64.0,708.0,-3536.4916706219933,-3182.9822446236303,-1099.5576185953441,531.5074684775865,1547.5482507412698,83.51683633166046,2327.203965217164,109.73008680948598,3409.951229692824,3954.4507104279583,0.9146699796258844,10.921875,0.0,0.765625,0.9375,0.24858757062146894,0.5461571270922441,3675.068202131401,0.5083392218054967,0.5011776781337336,0.0,0.9872881355932204,0.012711864406779662,-0.09872881355932202,-0.0986205263976145,0.0986205263976145,0.0,0.0,0.0,-0.5962947657672655
macro_early,macro,identity,AlwaysDecrease20,OBSERVABLE_ONLY,64.0,587.0,-2625.5994310432434,-2410.862215103606,-1053.0591499013576,333.46298662594006,1333.0277764330622,53.49436009423561,1482.870559727733,89.66972141415297,2911.1351513744244,2954.001272701947,1.129831246574386,7.3125,0.0,0.84375,0.921875,0.262350936967632,0.4704490605460047,2872.517767397844,0.5001421549046496,0.46530715989469107,0.0,0.797274275979557,0.20272572402044292,-0.15945485519591138,-0.15684597580833223,0.15684597580833223,0.0,0.0,0.0,-0.7447662544538911
macro_early,macro,identity,AlwaysIncrease,OBSERVABLE_ONLY,64.0,835.0,-6247.79017869422,-5363.580663629048,-1785.7783666102073,937.8783719367489,2576.7973069108034,146.8594316361528,4327.327732418822,134.68407966519294,4781.480340318418,10524.76936229771,0.49249208794825394,6.40625,0.0,0.671875,0.90625,0.18682634730538922,0.9093973086573081,6973.151274515491,0.52059995999185,0.5686558097998482,0.49101796407185627,0.0,0.5089820359281437,0.04910179640718566,0.046955506367989085,0.046955506367989085,0.08383233532934131,0.0,0.0,0.8982867729588222
macro_early,macro,identity,MyopicEconomic,OBSERVABLE_ONLY,64.0,838.0,-5593.146686921896,-4794.306653545586,-1508.8798116142134,895.8132730409377,2265.9916867794745,138.70139787567658,3953.75082086497,130.5160544427126,4389.577479491096,10521.342996252626,0.4843185800687766,6.171875,1.171875,0.671875,0.875,0.18138424821002386,0.7997085125285018,6132.070526591388,0.506391467674405,0.5404089762271396,0.3711217183770883,0.10023866348448687,0.5286396181384249,0.053341288782816215,0.0499794102099157,0.08482427894499923,0.060859188544152745,0.0,0.0,0.9524718310520062
macro_early,macro,identity,PDThreshold,OBSERVABLE_ONLY,64.0,730.0,-3968.6957816549984,-3535.4946280106233,-1226.6288735337453,637.486885599156,1765.288345429079,98.82741370382226,2632.652112242967,109.41479587828573,3763.5363962132724,5779.001628657175,0.7803302958028041,7.078125,0.140625,0.75,0.90625,0.2356164383561644,0.6230014545699332,4279.486898009888,0.48985156666499996,0.48334156720587107,0.12602739726027398,0.4945205479452055,0.37945205479452054,-0.03684931506849313,-0.03738888733800755,0.06151522225103352,0.0,0.0,0.0,-0.19241013627996628
macro_early,macro,identity,PPO,OBSERVABLE_ONLY,64.0,587.0,-2625.5994310432434,-2410.862215103606,-1053.0591499013576,333.46298662594006,1333.0277764330622,53.4943600942356,1482.870559727733,89.66972141415297,2911.1351513744244,2954.001272701947,1.129831246574386,7.3125,0.0,0.84375,0.921875,0.262350936967632,0.4704490605460047,2872.517767397844,0.5001421549046496,0.46530715989469107,0.0,0.797274275979557,0.20272572402044292,-0.19999999999999996,-0.15684597580833223,0.15684597580833223,0.0,0.0,0.0,-0.7447662544538911
macro_early,macro,identity,PPO_without_PD,OBSERVABLE_ONLY,64.0,587.0,-2625.5994310432434,-2410.862215103606,-1053.0591499013576,333.46298662594006,1333.0277764330622,53.4943600942356,1482.870559727733,89.66972141415297,2911.1351513744244,2954.001272701947,1.129831246574386,7.3125,0.0,0.84375,0.921875,0.262350936967632,0.4704490605460047,2872.517767397844,0.5001421549046496,0.46530715989469107,0.0,0.797274275979557,0.20272572402044292,-0.19999999999999996,-0.15684597580833223,0.15684597580833223,0.0,0.0,0.0,-0.7447662544538911
macro_early,macro,identity,Random,OBSERVABLE_ONLY,64.0,757.0,-5442.660655340353,-4692.8524237503625,-1704.2754244713271,771.0531179272384,2352.655544559302,122.67299783926346,3615.200271584219,123.18495928480655,4357.587003362436,6475.777147524005,0.7301696600933261,9.25,3.953125,0.765625,0.921875,0.23778071334214002,0.8302937195261444,5587.011311754929,0.5243771532834517,0.5580622793136091,0.36723910171730517,0.4147952443857332,0.21796565389696168,-0.008850726552179635,-0.01007770003774281,0.11726708199660327,0.062087186261558784,0.0,0.0,-0.11201998453658485
macro_early,macro,identity,SIMULATOR_ONLY_ORACLE_Myopic,SIMULATOR_ONLY_ORACLE,64.0,838.0,-5422.279165503247,-4677.186691752199,-1529.6520510770997,852.9001370896599,2250.22753752891,132.3246506378496,3762.9177362130317,129.7093782131151,4337.327330509426,9977.433351928079,0.5135646505140526,6.578125,1.21875,0.671875,0.875,0.18615751789976134,0.7941450656623911,6089.410672382673,0.5039049831876936,0.5309158171438602,0.3532219570405728,0.14916467780429593,0.49761336515513127,0.03914081145584725,0.03723025512033327,0.08674183160370112,0.06563245823389022,0.0,0.0,0.8039518970047943
macro_early,macro,identity,Static,OBSERVABLE_ONLY,64.0,807.0,-5895.1258019509005,-5032.287402294778,-1533.2383098288278,898.0987391625476,2289.9182387660408,141.41881022533465,4226.958176878095,134.9293152439763,4588.646565415134,6902.752805769598,0.6851841832167676,0.0,0.0,0.703125,0.90625,0.2218091697645601,0.8081526155721044,5921.404738627338,0.5358862034321678,0.5995719703396934,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
