policy,reference,metric,difference,lower,upper
AlwaysIncrease,PPO,net_economic_value,-1173.2098834752578,-1650.9959867412322,-762.8113414857619
AlwaysIncrease,PPO,credit_loss,1713.0941622719215,1314.4062519203,2182.1345578079267
AlwaysIncrease,PPO,defaulted,-0.13232421875,-0.18408203125,-0.08397216796875001
AlwaysIncrease,PPO_without_PD,net_economic_value,-1173.2098834752578,-1650.9959867412322,-762.8113414857619
AlwaysIncrease,PPO_without_PD,credit_loss,1713.0941622719215,1314.4062519203,2182.1345578079267
AlwaysIncrease,PPO_without_PD,defaulted,-0.13232421875,-0.18408203125,-0.08397216796875001
AlwaysIncrease,Random,net_economic_value,-351.7628410708892,-653.7778333219918,-95.83625475468648
AlwaysIncrease,Random,credit_loss,502.21617399197555,261.483549439504,777.7621325813373
AlwaysIncrease,Random,defaulted,-0.0791015625,-0.116259765625,-0.04881591796875001
AlwaysIncrease,Static,net_economic_value,-199.7239804331631,-488.458315747387,45.38999732007196
AlwaysIncrease,Static,credit_loss,313.9139545014258,84.7874182244561,604.8072361628606
AlwaysIncrease,Static,defaulted,-0.07421875,-0.1142822265625,-0.04244384765625003
AlwaysIncrease,UtilizationPD,net_economic_value,-812.1172548774141,-1208.017276533646,-454.9725446929647
AlwaysIncrease,UtilizationPD,credit_loss,1060.8012128511482,708.2850256176843,1452.2840694977976
AlwaysIncrease,UtilizationPD,defaulted,-0.083984375,-0.13184814453125,-0.04489746093750002
MyopicEconomic,AlwaysDecrease,net_economic_value,-623.2846794859013,-991.6000864645642,-274.9249048063342
MyopicEconomic,AlwaysDecrease,credit_loss,972.7807762402588,631.6610187591142,1337.5551502450153
MyopicEconomic,AlwaysDecrease,defaulted,-0.11962890625,-0.17342529296875,-0.07666015625
MyopicEconomic,AlwaysDecrease20,net_economic_value,-776.6433020507786,-1184.197174373782,-408.0201927374686
MyopicEconomic,AlwaysDecrease20,credit_loss,1293.4232953730684,932.4452415338314,1686.7202075869645
MyopicEconomic,AlwaysDecrease20,defaulted,-0.142578125,-0.1997314453125,-0.095703125
MyopicEconomic,AlwaysIncrease,net_economic_value,396.56658142447895,230.10753423406112,595.2823947921732
MyopicEconomic,AlwaysIncrease,credit_loss,-419.6708668988531,-626.3777812772045,-251.61006846760975
MyopicEconomic,AlwaysIncrease,defaulted,-0.01025390625,-0.02100830078125,-0.00146484375
MyopicEconomic,PDThreshold,net_economic_value,-428.2563131808248,-759.370980485265,-98.25805727376756
MyopicEconomic,PDThreshold,credit_loss,650.239702555437,321.27846539583,979.1825639705897
MyopicEconomic,PDThreshold,defaulted,-0.08642578125,-0.13623046875,-0.04783935546875001
MyopicEconomic,PPO,net_economic_value,-776.6433020507786,-1154.4647193788198,-449.36616591908955
MyopicEconomic,PPO,credit_loss,1293.4232953730684,956.8490591464877,1662.6650210377104
MyopicEconomic,PPO,defaulted,-0.142578125,-0.1953369140625,-0.09033203125
MyopicEconomic,PPO_without_PD,net_economic_value,-776.6433020507786,-1154.4647193788198,-449.36616591908955
MyopicEconomic,PPO_without_PD,credit_loss,1293.4232953730684,956.8490591464877,1662.6650210377104
MyopicEconomic,PPO_without_PD,defaulted,-0.142578125,-0.1953369140625,-0.09033203125
MyopicEconomic,Random,net_economic_value,44.803740353589774,-182.68557610189202,285.5789426362162
MyopicEconomic,Random,credit_loss,82.54530709312245,-148.103843709941,296.390402846717
MyopicEconomic,Random,defaulted,-0.08935546875,-0.125048828125,-0.05859375
MyopicEconomic,Static,net_economic_value,196.84260099131592,-37.59789886764021,442.68430719286266
MyopicEconomic,Static,credit_loss,-105.75691239742734,-334.69598672287907,143.63126995083292
MyopicEconomic,Static,defaulted,-0.08447265625,-0.126953125,-0.05025634765625003
MyopicEconomic,UtilizationPD,net_economic_value,-415.55067345293514,-750.2435062208209,-89.26948333680262
MyopicEconomic,UtilizationPD,credit_loss,641.1303459522951,317.3993013351309,972.4667980187226
MyopicEconomic,UtilizationPD,defaulted,-0.09423828125,-0.142578125,-0.05517578125
PDThreshold,AlwaysDecrease,net_economic_value,-195.02836630507636,-326.1534990641287,-74.52635559205716
PDThreshold,AlwaysDecrease,credit_loss,322.5410736848218,191.619135063488,458.4513932768582
PDThreshold,AlwaysDecrease,defaulted,-0.033203125,-0.06885986328125,-0.00830078125
PDThreshold,AlwaysDecrease20,net_economic_value,-348.3869888699539,-518.0332475696507,-167.64646051420226
PDThreshold,AlwaysDecrease20,credit_loss,643.1835928176315,473.61124090459606,820.437618180579
PDThreshold,AlwaysDecrease20,defaulted,-0.05615234375,-0.09521484375,-0.02294921875
PDThreshold,AlwaysIncrease,net_economic_value,824.8228946053039,466.59239295359487,1221.4357973241201
PDThreshold,AlwaysIncrease,credit_loss,-1069.91056945429,-1455.3299904855887,-717.352334124247
PDThreshold,AlwaysIncrease,defaulted,0.076171875,0.0365966796875,0.125
PDThreshold,MyopicEconomic,net_economic_value,428.2563131808248,98.25805727376755,759.370980485265
PDThreshold,MyopicEconomic,credit_loss,-650.239702555437,-979.1825639705897,-321.2784653958302
PDThreshold,MyopicEconomic,defaulted,0.08642578125,0.04783935546875,0.13623046875
PDThreshold,PPO,net_economic_value,-348.3869888699539,-542.4715522098518,-179.73569089977934
PDThreshold,PPO,credit_loss,643.1835928176314,473.1842278244963,819.7317146155885
PDThreshold,PPO,defaulted,-0.05615234375,-0.08985595703125,-0.02049560546875001
PDThreshold,PPO_without_PD,net_economic_value,-348.3869888699539,-542.4715522098518,-179.73569089977934
PDThreshold,PPO_without_PD,credit_loss,643.1835928176314,473.1842278244963,819.7317146155885
PDThreshold,PPO_without_PD,defaulted,-0.05615234375,-0.08985595703125,-0.02049560546875001
PDThreshold,Random,net_economic_value,473.06005353441464,267.15282039323125,726.446034053121
PDThreshold,Random,credit_loss,-567.6943954623144,-827.7430914539954,-353.52878380625236
PDThreshold,Random,defaulted,-0.0029296875,-0.02686767578125,0.02392578125
PDThreshold,Static,net_economic_value,625.0989141721407,460.11747258544665,811.0193775361383
PDThreshold,Static,credit_loss,-755.9966149528643,-933.1973982240991,-591.2961632190166
PDThreshold,Static,defaulted,0.001953125,-0.017126464843749998,0.01905517578124999
PDThreshold,UtilizationPD,net_economic_value,12.705639727889668,-7.200114822819993,41.215159107826366
PDThreshold,UtilizationPD,credit_loss,-9.109356603141926,-34.69554142978178,10.862176515502679
PDThreshold,UtilizationPD,defaulted,-0.0078125,-0.0166015625,-0.001452636718750011
PPO,AlwaysDecrease,net_economic_value,153.3586225648775,60.79794014612325,261.39414042468434
PPO,AlwaysDecrease,credit_loss,-320.6425191328096,-409.5079753523496,-241.09826895213521
PPO,AlwaysDecrease,defaulted,0.02294921875,-0.00146484375,0.049365234374999956
PPO,AlwaysDecrease20,net_economic_value,0.0,0.0,0.0
PPO,AlwaysDecrease20,credit_loss,0.0,0.0,0.0
PPO,AlwaysDecrease20,defaulted,0.0,0.0,0.0
PPO,AlwaysIncrease,net_economic_value,1173.2098834752578,762.8113414857618,1650.995986741232
PPO,AlwaysIncrease,credit_loss,-1713.0941622719215,-2182.134557807927,-1314.4062519203003
PPO,AlwaysIncrease,defaulted,0.13232421875,0.08397216796875,0.18408203125
PPO,MyopicEconomic,net_economic_value,776.6433020507786,449.3661659190895,1154.4647193788196
PPO,MyopicEconomic,credit_loss,-1293.4232953730684,-1662.6650210377104,-956.8490591464878
PPO,MyopicEconomic,defaulted,0.142578125,0.09033203125,0.19533691406249998
PPO,PDThreshold,net_economic_value,348.3869888699539,179.73569089977934,542.4715522098518
PPO,PDThreshold,credit_loss,-643.1835928176314,-819.7317146155887,-473.1842278244963
PPO,PDThreshold,defaulted,0.05615234375,0.02049560546875,0.08985595703124999
PPO,PPO_without_PD,net_economic_value,0.0,0.0,0.0
PPO,PPO_without_PD,credit_loss,0.0,0.0,0.0
PPO,PPO_without_PD,defaulted,0.0,0.0,0.0
PPO,Random,net_economic_value,821.4470424043684,548.5778554203761,1128.2518192673456
PPO,Random,credit_loss,-1210.8779882799458,-1515.6078002278007,-933.9368585607263
PPO,Random,defaulted,0.05322265625,0.019982910156250002,0.08693847656249998
PPO,Static,net_economic_value,973.4859030420946,706.0956899755846,1284.5167525274833
PPO,Static,credit_loss,-1399.1802077704956,-1721.934984247667,-1131.553752853124
PPO,Static,defaulted,0.05810546875,0.02685546875,0.09326171875
PPO,UtilizationPD,net_economic_value,361.09262859784354,192.87963828787414,550.5152978248399
PPO,UtilizationPD,credit_loss,-652.2929494207733,-832.7516095892895,-474.8020600040204
PPO,UtilizationPD,defaulted,0.04833984375,0.015625,0.08156738281249998
PPO_without_PD,AlwaysDecrease,net_economic_value,153.3586225648775,60.79794014612325,261.39414042468434
PPO_without_PD,AlwaysDecrease,credit_loss,-320.6425191328096,-409.5079753523496,-241.09826895213521
PPO_without_PD,AlwaysDecrease,defaulted,0.02294921875,-0.00146484375,0.049365234374999956
PPO_without_PD,AlwaysDecrease20,net_economic_value,0.0,0.0,0.0
PPO_without_PD,AlwaysDecrease20,credit_loss,0.0,0.0,0.0
PPO_without_PD,AlwaysDecrease20,defaulted,0.0,0.0,0.0
PPO_without_PD,AlwaysIncrease,net_economic_value,1173.2098834752578,762.8113414857618,1650.995986741232
PPO_without_PD,AlwaysIncrease,credit_loss,-1713.0941622719215,-2182.134557807927,-1314.4062519203003
PPO_without_PD,AlwaysIncrease,defaulted,0.13232421875,0.08397216796875,0.18408203125
PPO_without_PD,MyopicEconomic,net_economic_value,776.6433020507786,449.3661659190895,1154.4647193788196
PPO_without_PD,MyopicEconomic,credit_loss,-1293.4232953730684,-1662.6650210377104,-956.8490591464878
PPO_without_PD,MyopicEconomic,defaulted,0.142578125,0.09033203125,0.19533691406249998
PPO_without_PD,PDThreshold,net_economic_value,348.3869888699539,179.73569089977934,542.4715522098518
PPO_without_PD,PDThreshold,credit_loss,-643.1835928176314,-819.7317146155887,-473.1842278244963
PPO_without_PD,PDThreshold,defaulted,0.05615234375,0.02049560546875,0.08985595703124999
PPO_without_PD,PPO,net_economic_value,0.0,0.0,0.0
PPO_without_PD,PPO,credit_loss,0.0,0.0,0.0
PPO_without_PD,PPO,defaulted,0.0,0.0,0.0
PPO_without_PD,Random,net_economic_value,821.4470424043684,548.5778554203761,1128.2518192673456
PPO_without_PD,Random,credit_loss,-1210.8779882799458,-1515.6078002278007,-933.9368585607263
PPO_without_PD,Random,defaulted,0.05322265625,0.019982910156250002,0.08693847656249998
PPO_without_PD,Static,net_economic_value,973.4859030420946,706.0956899755846,1284.5167525274833
PPO_without_PD,Static,credit_loss,-1399.1802077704956,-1721.934984247667,-1131.553752853124
PPO_without_PD,Static,defaulted,0.05810546875,0.02685546875,0.09326171875
PPO_without_PD,UtilizationPD,net_economic_value,361.09262859784354,192.87963828787414,550.5152978248399
PPO_without_PD,UtilizationPD,credit_loss,-652.2929494207733,-832.7516095892895,-474.8020600040204
PPO_without_PD,UtilizationPD,defaulted,0.04833984375,0.015625,0.08156738281249998
Random,AlwaysDecrease,net_economic_value,-668.088419839491,-970.4607418142133,-425.342284967806
Random,AlwaysDecrease,credit_loss,890.2354691471363,621.4386521375448,1187.8821782857651
Random,AlwaysDecrease,defaulted,-0.0302734375,-0.0664306640625,0.0005004882812499889
Random,AlwaysDecrease20,net_economic_value,-821.4470424043685,-1139.9676098811428,-528.3157328238133
Random,AlwaysDecrease20,credit_loss,1210.8779882799458,931.4789580756645,1532.906137772446
Random,AlwaysDecrease20,defaulted,-0.05322265625,-0.09476318359375,-0.02000732421875001
Random,AlwaysIncrease,net_economic_value,351.7628410708892,95.83625475468637,653.7778333219915
Random,AlwaysIncrease,credit_loss,-502.21617399197555,-777.7621325813376,-261.4835494395042
Random,AlwaysIncrease,defaulted,0.0791015625,0.04881591796875,0.11625976562499996
Random,MyopicEconomic,net_economic_value,-44.803740353589774,-285.57894263621654,182.68557610189183
Random,MyopicEconomic,credit_loss,-82.54530709312245,-296.3904028467171,148.103843709941
Random,MyopicEconomic,defaulted,0.08935546875,0.05859375,0.12504882812499996
Random,PDThreshold,net_economic_value,-473.06005353441464,-726.4460340531211,-267.15282039323125
Random,PDThreshold,credit_loss,567.6943954623144,353.52878380625236,827.7430914539954
Random,PDThreshold,defaulted,0.0029296875,-0.02392578125,0.02686767578124999
Random,PPO,net_economic_value,-821.4470424043684,-1128.2518192673458,-548.5778554203762
Random,PPO,credit_loss,1210.8779882799458,933.9368585607263,1515.6078002278007
Random,PPO,defaulted,-0.05322265625,-0.0869384765625,-0.019982910156250033
Random,PPO_without_PD,net_economic_value,-821.4470424043684,-1128.2518192673458,-548.5778554203762
Random,PPO_without_PD,credit_loss,1210.8779882799458,933.9368585607263,1515.6078002278007
Random,PPO_without_PD,defaulted,-0.05322265625,-0.0869384765625,-0.019982910156250033
Random,Static,net_economic_value,152.03886063772615,-49.48774811905664,337.0767412549722
Random,Static,credit_loss,-188.3022194905498,-372.6471403303237,15.410516659485243
Random,Static,defaulted,0.0048828125,-0.0166015625,0.0263671875
Random,UtilizationPD,net_economic_value,-460.3544138065249,-715.8457080498897,-252.41480432156717
Random,UtilizationPD,credit_loss,558.5850388591725,335.41566231604594,814.4283399015712
Random,UtilizationPD,defaulted,-0.0048828125,-0.03173828125,0.019067382812499978
Static,AlwaysDecrease,net_economic_value,-820.127280477217,-1072.2867939950645,-582.4163792244593
Static,AlwaysDecrease,credit_loss,1078.5376886376862,848.0753860173963,1323.720919531302
Static,AlwaysDecrease,defaulted,-0.03515625,-0.07080078125,-0.005847167968750011
Static,AlwaysDecrease20,net_economic_value,-973.4859030420946,-1249.658002625219,-698.666710603726
Static,AlwaysDecrease20,credit_loss,1399.1802077704956,1123.721837278383,1675.6315046718369
Static,AlwaysDecrease20,defaulted,-0.05810546875,-0.0971923828125,-0.02684326171875001
Static,AlwaysIncrease,net_economic_value,199.7239804331631,-45.38999732007202,488.4583157473866
Static,AlwaysIncrease,credit_loss,-313.9139545014258,-604.8072361628607,-84.78741822445625
Static,AlwaysIncrease,defaulted,0.07421875,0.042443847656250006,0.11428222656249998
Static,MyopicEconomic,net_economic_value,-196.84260099131592,-442.6843071928627,37.59789886764012
Static,MyopicEconomic,credit_loss,105.75691239742734,-143.63126995083294,334.6959867228789
Static,MyopicEconomic,defaulted,0.08447265625,0.050256347656250006,0.126953125
Static,PDThreshold,net_economic_value,-625.0989141721407,-811.0193775361383,-460.1174725854467
Static,PDThreshold,credit_loss,755.9966149528643,591.2961632190165,933.1973982240988
Static,PDThreshold,defaulted,-0.001953125,-0.01905517578125,0.017126464843749967
Static,PPO,net_economic_value,-973.4859030420946,-1284.5167525274833,-706.0956899755847
Static,PPO,credit_loss,1399.1802077704956,1131.5537528531236,1721.9349842476668
Static,PPO,defaulted,-0.05810546875,-0.09326171875,-0.02685546875
Static,PPO_without_PD,net_economic_value,-973.4859030420946,-1284.5167525274833,-706.0956899755847
Static,PPO_without_PD,credit_loss,1399.1802077704956,1131.5537528531236,1721.9349842476668
Static,PPO_without_PD,defaulted,-0.05810546875,-0.09326171875,-0.02685546875
Static,Random,net_economic_value,-152.03886063772615,-337.0767412549725,49.4877481190565
Static,Random,credit_loss,188.3022194905498,-15.410516659485248,372.64714033032357
Static,Random,defaulted,-0.0048828125,-0.0263671875,0.0166015625
Static,UtilizationPD,net_economic_value,-612.3932744442511,-798.7641859400504,-446.90551698735464
Static,UtilizationPD,credit_loss,746.8872583497223,577.9396344661486,929.0613639909013
Static,UtilizationPD,defaulted,-0.009765625,-0.02833251953125,0.010266113281249989
UtilizationPD,AlwaysDecrease,net_economic_value,-207.73400603296605,-338.4017543916482,-86.14425126562037
UtilizationPD,AlwaysDecrease,credit_loss,331.65043028796373,200.52290961370045,466.0730397698201
UtilizationPD,AlwaysDecrease,defaulted,-0.025390625,-0.05762939453125,-0.003405761718750011
UtilizationPD,AlwaysDecrease20,net_economic_value,-361.09262859784354,-528.5908273873771,-176.83578659085268
UtilizationPD,AlwaysDecrease20,credit_loss,652.2929494207733,475.7146137316425,830.165654780028
