policy,metric,mean,lower,upper,conditional_lower,conditional_upper,between_world_sd,mean_within_world_customer_sd,training_seed_sd
AlwaysDecrease,net_economic_value,-963.8700989549325,-1241.7661097592359,-686.0454621522579,-1236.5790872628777,-668.2980835080422,188.37030224760034,1227.4891674082583,0.0
AlwaysDecrease,credit_loss,1440.8208502807502,1195.7356105468778,1694.1676524156314,1182.341006011001,1682.8940064875535,147.2131237382567,1097.280106607122,0.0
AlwaysDecrease,defaulted,0.82421875,0.7474853515625,0.89654541015625,0.7504638671875,0.90087890625,0.06688263070725149,0.373137682873379,0.0
AlwaysDecrease20,net_economic_value,-810.511476390055,-1028.2007973495272,-587.2242042620262,-1030.1421678374882,-574.1123049474555,134.5282194254851,964.3780918892239,0.0
AlwaysDecrease20,credit_loss,1120.1783311479405,909.0982925116322,1326.3357955953152,902.1111621361943,1336.2370955456959,116.18893236174851,918.0088482607509,0.0
AlwaysDecrease20,defaulted,0.84716796875,0.7734130859375,0.91461181640625,0.77432861328125,0.91845703125,0.05276120322644488,0.35255823897252425,0.0
AlwaysIncrease,net_economic_value,-1983.7213598653127,-2581.7769895516094,-1464.987960244451,-2565.7424837407093,-1438.8580957515076,331.9612744971336,2589.8797281382576,0.0
AlwaysIncrease,credit_loss,2833.2724934198623,2299.2837634685557,3411.497549383028,2295.4401796723105,3388.5625242273854,273.8336198183689,2470.7937112153877,0.0
AlwaysIncrease,defaulted,0.71484375,0.60982666015625,0.8091064453125,0.623046875,0.8061767578125,0.08362683529014572,0.44531163549591346,0.0
MyopicEconomic,net_economic_value,-1587.1547784408338,-2107.4282027517224,-1095.255127973925,-2079.1871485149163,-1136.9416532075159,362.2181205821689,2285.2345832490473,0.0
MyopicEconomic,credit_loss,2413.6016265210087,1921.3153235805685,2917.4599119959894,1948.0841923305506,2876.3840394189874,292.9718727084719,2130.7573941267765,0.0
MyopicEconomic,defaulted,0.70458984375,0.601513671875,0.7993896484374999,0.6108154296875,0.79444580078125,0.09165668451842605,0.44848426085150317,0.0
PDThreshold,net_economic_value,-1158.8984652600088,-1463.1725076466214,-828.5642879619759,-1449.0728339301652,-800.0318954792943,212.79741675091938,1536.7722706331147,0.0
PDThreshold,credit_loss,1763.3619239655718,1478.047431696619,2057.3461049818657,1448.4097704283927,2055.505302003197,169.44884912775916,1406.1873714678763,0.0
PDThreshold,defaulted,0.791015625,0.6981201171875,0.87745361328125,0.709716796875,0.8789428710937499,0.06661716387071293,0.40171258503429713,0.0
PPO,net_economic_value,-810.5114763900549,-1043.979687306361,-593.6906082389053,-1011.1373486363979,-585.075988582383,134.52821942548513,964.3780918892239,0.0
PPO,credit_loss,1120.1783311479408,923.2217073123654,1351.176558381416,912.4676228332298,1324.7083084913638,116.1889323617485,918.0088482607509,0.0
PPO,defaulted,0.84716796875,0.76507568359375,0.918994140625,0.7665771484375,0.9199584960937499,0.05276120322644488,0.35255823897252425,0.0
PPO_without_PD,net_economic_value,-810.5114763900549,-1043.979687306361,-593.6906082389053,-1011.1373486363979,-585.075988582383,134.52821942548513,964.3780918892239,0.0
PPO_without_PD,credit_loss,1120.1783311479408,923.2217073123654,1351.176558381416,912.4676228332298,1324.7083084913638,116.1889323617485,918.0088482607509,0.0
PPO_without_PD,defaulted,0.84716796875,0.76507568359375,0.918994140625,0.7665771484375,0.9199584960937499,0.05276120322644488,0.35255823897252425,0.0
Random,net_economic_value,-1631.9585187944235,-2041.2049486237718,-1227.237945101939,-2030.1278236858677,-1235.0297499588048,269.4537845144489,1844.8800895035222,0.0
Random,credit_loss,2331.0563194278866,1954.8482079374267,2717.192607644465,1932.964287848411,2720.439625604705,205.3338208463077,1741.0608075303526,0.0
Random,defaulted,0.7939453125,0.7011474609375,0.879931640625,0.70848388671875,0.8790283203124999,0.06936100147565377,0.3987318590948072,0.0
Static,net_economic_value,-1783.9973794321497,-2227.3844168432297,-1371.5919877360502,-2197.0537560303183,-1347.1495075771604,280.39989172845384,2000.8993454272822,0.0
Static,credit_loss,2519.3585389184364,2123.670332747936,2945.672793336491,2105.360512767722,2919.688050147438,218.67389178519923,1884.820879722436,0.0
Static,defaulted,0.7890625,0.6962158203125,0.8789306640625,0.70452880859375,0.87646484375,0.07010217197868432,0.4024726428178875,0.0
UtilizationPD,net_economic_value,-1171.6041049878986,-1463.8882870884986,-837.1274681165523,-1464.6281464895258,-816.5292715054417,219.3614598077681,1516.065305766202,0.0
UtilizationPD,credit_loss,1772.4712805687138,1484.0076222284677,2070.445885173021,1468.6615562524676,2056.5191376330235,175.6224364204543,1386.1564525944561,0.0
UtilizationPD,defaulted,0.798828125,0.706982421875,0.88232421875,0.7214111328125,0.8843017578125,0.06939647480762842,0.3948316707552807,0.0
