policy,policy_seed,world_id,signal,net_economic_value,cumulative_reward,credit_loss,defaulted,final_balance,final_limit,increases,decreases,reversals
PPO,303,random_010,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_011,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_012,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_013,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_014,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_015,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_016,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_017,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_018,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_019,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_020,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_021,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_022,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_023,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_024,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_025,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_026,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_027,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_028,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_029,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_030,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,303,random_031,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,404,macro_early,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,404,macro_late,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,404,macro_prolonged,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,404,macro_slow_recovery,identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
