policy,policy_seed,world_id,world_kind,signal,seconds,steps,steps_per_second,policy_inference_ms
AlwaysDecrease,-1,random_029,randomized,identity,2.5565045999828726,723,282.8080184189161,0.1193094036682286
AlwaysDecrease20,-1,random_029,randomized,identity,1.73323559993878,610,351.9429211017509,0.098232462521276
AlwaysIncrease,-1,random_029,randomized,identity,2.168725600000471,896,413.1458585631144,0.0955142833325745
Random,991,random_029,randomized,identity,1.9710882999934256,780,395.7204758420014,0.1324317928475256
PDThreshold,-1,random_029,randomized,identity,1.9257475000340487,795,412.8267075439245,0.0944354736872907
UtilizationPD,-1,random_029,randomized,identity,1.9657523999921975,786,399.84689831899465,0.1073391844741241
MyopicEconomic,-1,random_029,randomized,identity,2.4336037000175565,936,384.6147998514497,0.2917543821769137
SIMULATOR_ONLY_ORACLE_Myopic,-1,random_029,randomized,identity,5.758352300035767,940,163.2411410455316,2.917652446380321
PPO,101,random_029,randomized,identity,1.986414100043476,610,307.0860199726982,0.6434614739579255
PPO,202,random_029,randomized,identity,1.9356841000262648,610,315.13406551808896,0.5893439354115456
PPO,303,random_029,randomized,identity,2.0311986999586225,610,300.31527689163363,0.6005116398675275
PPO,404,random_029,randomized,identity,2.1379386000335217,610,285.3215709704832,0.6332952441403368
PPO,505,random_029,randomized,identity,2.1036776000401005,610,289.96838678530025,0.651725572075878
PPO_without_PD,101,random_029,randomized,identity,2.0663347999798134,610,295.20869512818507,0.6272734431015541
PPO_without_PD,202,random_029,randomized,identity,2.000546299968846,610,304.9167120048656,0.5911993442988787
PPO_without_PD,303,random_029,randomized,identity,2.020523199927993,610,301.90200242280764,0.6037201640791581
PPO_without_PD,404,random_029,randomized,identity,2.1094520000042394,610,289.1746292396196,0.6217754115808571
PPO_without_PD,505,random_029,randomized,identity,2.2187989000231028,610,274.9235183024692,0.648141473714934
Static,-1,random_030,randomized,identity,2.5265897000208497,844,334.0471149680675,0.1114620860242306
AlwaysDecrease,-1,random_030,randomized,identity,2.4004574000136927,771,321.1887867685559,0.112493252943375
AlwaysDecrease20,-1,random_030,randomized,identity,1.7013464999618009,642,377.34817687896873,0.0940918983351961
AlwaysIncrease,-1,random_030,randomized,identity,2.1605642000213265,924,427.666069812172,0.0905221861331558
Random,991,random_030,randomized,identity,2.046174700022675,858,419.3190346799283,0.1272801886473311
PDThreshold,-1,random_030,randomized,identity,1.9969124000053853,814,407.6292981093236,0.0969318185900898
UtilizationPD,-1,random_030,randomized,identity,1.991868900018744,814,408.6614334870834,0.1020807141028527
MyopicEconomic,-1,random_030,randomized,identity,2.433243099949322,943,387.5486177355809,0.2821903497529782
SIMULATOR_ONLY_ORACLE_Myopic,-1,random_030,randomized,identity,6.005920399911702,907,151.0176525172286,3.251291180487472
PPO,101,random_030,randomized,identity,2.039244299987331,642,314.82250557424067,0.5702186933271819
PPO,202,random_030,randomized,identity,2.075189199997112,642,309.3693818379998,0.584846416508599
PPO,303,random_030,randomized,identity,2.244157899986021,642,286.0761268197746,0.6428809955823482
PPO,404,random_030,randomized,identity,2.247273900080472,642,285.67946255995355,0.6447822416587109
PPO,505,random_030,randomized,identity,2.2343421999830757,642,287.33288929728985,0.6537968829575914
PPO_without_PD,101,random_030,randomized,identity,2.134660199983045,642,300.7504426255284,0.6095985967210404
PPO_without_PD,202,random_030,randomized,identity,2.1397251000162214,642,300.038542331972,0.6068613694986543
PPO_without_PD,303,random_030,randomized,identity,2.2441867000889038,642,286.0724555468434,0.6564252301209209
PPO_without_PD,404,random_030,randomized,identity,2.255083999945782,642,284.6900603327571,0.6441520244126844
PPO_without_PD,505,random_030,randomized,identity,2.0613593000452965,642,311.4449771012228,0.594650779094988
Static,-1,random_031,randomized,identity,1.9596905000507832,850,433.7419607728737,0.0885581155307591
AlwaysDecrease,-1,random_031,randomized,identity,1.861008399981074,781,419.66495154344415,0.089543148942015
AlwaysDecrease20,-1,random_031,randomized,identity,1.8099056999199088,713,393.9431761729637,0.0903764372263077
AlwaysIncrease,-1,random_031,randomized,identity,2.3850818999344483,961,402.9211743321737,0.092306660350633
Random,991,random_031,randomized,identity,2.2325172000564635,834,373.5693503185136,0.1438621133431899
PDThreshold,-1,random_031,randomized,identity,2.0591421000426635,809,392.8820648090476,0.098108652862864
UtilizationPD,-1,random_031,randomized,identity,1.9493936999933796,789,404.7412280047277,0.1046486685515224
MyopicEconomic,-1,random_031,randomized,identity,2.5171670999843627,997,396.0801807739318,0.2857190570836082
SIMULATOR_ONLY_ORACLE_Myopic,-1,random_031,randomized,identity,6.155419099959545,994,161.48372415560345,2.920185512899641
PPO,101,random_031,randomized,identity,2.365921600023285,713,301.3624796328766,0.6258036441014241
PPO,202,random_031,randomized,identity,2.4581524999812245,713,290.05523457370765,0.6149591890138901
PPO,303,random_031,randomized,identity,2.274160800036043,713,313.522245211816,0.5999535735602508
PPO,404,random_031,randomized,identity,2.5173170000780374,713,283.238066551768,0.6539447415622701
PPO,505,random_031,randomized,identity,2.3325197000522166,713,305.6780184896353,0.617333519831561
PPO_without_PD,101,random_031,randomized,identity,2.2199153000256047,713,321.1834253278835,0.6125057498215166
PPO_without_PD,202,random_031,randomized,identity,2.2867891000350937,713,311.79088617706725,0.6271417962640607
PPO_without_PD,303,random_031,randomized,identity,2.268721900065429,713,314.2738649366576,0.635998738605691
PPO_without_PD,404,random_031,randomized,identity,2.5382650000974536,713,280.9005363792296,0.6575185125027515
PPO_without_PD,505,random_031,randomized,identity,2.403515400015749,713,296.64881697672007,0.6741608697450805
