policy,scenario,information_set,unique_customers,training_seeds,episodes,customer_months,cumulative_reward,discounted_reward,net_economic_value,revenue,credit_loss,funding_cost,capital_charge,constraint_penalty,mean_balance,mean_limit,mean_utilization,limit_changes,reversals,default_rate,ever_delinquent_rate,delinquent_month_rate,credit_loss_rate,mean_exposure_at_default,mean_predicted_pd,high_risk_exposure_share,increase_fraction,decrease_fraction,no_change_fraction,requested_change,effective_change,mean_absolute_change,delinquent_increase_fraction,severe_delinquent_increases,blocked_fraction,mean_limit_growth,cumulative_reward_lower,cumulative_reward_upper,cumulative_reward_seed_sd,net_economic_value_lower,net_economic_value_upper,net_economic_value_seed_sd,credit_loss_lower,credit_loss_upper,credit_loss_seed_sd,defaulted_lower,defaulted_upper,defaulted_seed_sd,default_alert,loss_alert,high_risk_exposure_alert
AlwaysDecrease20,baseline,OBSERVABLE_ONLY,300,1,300,3716,-2363.526272135968,-2179.144172572943,-779.4278188459028,385.29348836532785,1105.8893872250517,58.831919986179045,1494.144013722069,89.9544395679964,2663.905498272022,2794.780922950109,1.0981219460698393,8.49,0.0,0.7133333333333334,0.8166666666666667,0.18729817007534985,0.4021878556004914,2818.749500148814,0.3942240858022849,0.42627987697858644,0.0,0.6854144241119483,0.3145855758880517,-0.13708288482238962,-0.13376337634155822,0.13376337634155822,0.0,0,0.0,-0.7740089821486579,-2600.6727370175417,-2167.5363421582424,0.0,-929.56630619446,-653.9714378097901,0.0,987.3598611874285,1253.036152882991,0.0,0.6666666666666666,0.7650833333333332,0.0,False,False,False
AlwaysDecrease20,severe_stress,OBSERVABLE_ONLY,300,1,300,2230,-2932.2645268836345,-2700.448105543057,-1280.8395876998673,301.69936204241293,1532.1957272362786,50.343222506001624,1560.0935789445286,91.33136023923919,3162.9267697398554,3423.446592789948,1.0739865489038807,6.723333333333334,0.0,0.9533333333333334,0.85,0.30358744394618836,0.5572261756156899,2922.1787550596537,0.6083440283214893,0.575416318397273,0.0,0.9044843049327355,0.09551569506726458,-0.18089686098654703,-0.17946350561555102,0.17946350561555102,0.0,0,0.0,-0.7225282841210575,-3132.1888309357555,-2742.8572978899774,0.0,-1404.4524344094475,-1179.6401661788004,0.0,1433.0979717184043,1657.2010294480765,0.0,0.92825,0.9733333333333334,0.0,True,False,False
MyopicEconomic,baseline,OBSERVABLE_ONLY,300,1,300,4648,-5519.783312528076,-4624.679509396606,-1285.2452738069612,1066.1592244536012,2191.299451576829,160.10504668373315,4114.475780840603,120.06225788051216,4522.511104160274,11174.149301597086,0.47315984759595875,6.773333333333333,1.6033333333333333,0.57,0.7166666666666667,0.13532702237521516,0.7969278280350002,6989.790914120667,0.4126769161924155,0.4558541334073215,0.3278829604130809,0.10929432013769363,0.5628227194492255,0.04274956970740102,0.040145854700074896,0.07697890117167558,0.0387263339070568,0,0.0,0.9475575587488049,-6100.488912061444,-4940.467108773663,0.0,-1568.1059786681174,-967.4932179435867,0.0,1923.6615068865376,2462.458124253478,0.0,0.5080833333333333,0.6168333333333331,0.0,False,True,False
MyopicEconomic,severe_stress,OBSERVABLE_ONLY,300,1,300,3021,-5944.558008202977,-5176.128671729689,-2430.5598213305507,596.6799296241112,2926.816034170352,100.4237167843097,3389.6088682603126,124.38931861211415,4445.019785883853,10290.866201688992,0.4952447132007473,5.846666666666667,1.2033333333333334,0.8733333333333333,0.8366666666666667,0.26150281363786826,1.0644191707760362,6093.301944837652,0.6097419182608179,0.6708392659952954,0.44654088050314467,0.13406156901688182,0.4193975504799735,0.0602780536246276,0.05713034334540887,0.10393603682438933,0.07116848725587553,0,0.0,0.8319094633790317,-6401.987444860849,-5507.683447273511,0.0,-2646.6884257518636,-2221.3205785978726,0.0,2710.841035910951,3133.793792881584,0.0,0.8349166666666666,0.9133333333333333,0.0,True,True,True
PDThreshold,baseline,OBSERVABLE_ONLY,300,1,300,4266,-4006.085029179543,-3492.074532773442,-880.4733649941039,862.1158069497907,1614.3036137789038,128.28555816499085,3014.0694321331484,111.5422320522919,4018.9180378610517,7189.631876436078,0.7078112404754119,6.51,0.21333333333333335,0.63,0.7433333333333333,0.15963431786216598,0.5870870235431026,4658.884888250805,0.4158320593323413,0.3709386797526567,0.1568213783403657,0.3009845288326301,0.5421940928270043,-0.014416315049226424,-0.015200892154960278,0.04499296428261196,0.0007032348804500703,0,0.0,-0.00901769198885941,-4387.168098941125,-3641.703349747318,0.0,-1086.0727245669314,-666.265617586938,0.0,1426.5949707806424,1797.936972328,0.0,0.5815833333333333,0.68175,0.0,False,False,False
PDThreshold,severe_stress,OBSERVABLE_ONLY,300,1,300,2644,-4634.637377477088,-4141.883668251453,-1953.058939519536,477.89294455935055,2350.705276618504,80.24660746038225,2574.427209448588,107.15122850896438,4106.234945445987,6452.381789621543,0.7358029347722096,5.513333333333334,0.21666666666666667,0.9166666666666666,0.85,0.2783661119515885,0.8549002506699699,4662.555920565628,0.6016815773933197,0.6186825195821727,0.09190620272314674,0.533661119515885,0.3744326777609682,-0.04417549167927381,-0.04454783133749523,0.062179472581825185,0.00037821482602118004,0,0.0,-0.2800727295842099,-4972.193990627527,-4359.520609972737,0.0,-2135.126595653553,-1789.5296195918688,0.0,2193.8414444158893,2533.6126770513256,0.0,0.8849166666666667,0.9466666666666667,0.0,True,True,True
PPO,baseline,OBSERVABLE_ONLY,300,3,900,11148,-2363.526272135968,-2179.1441725729433,-779.427818845903,385.2934883653278,1105.8893872250517,58.83191998617903,1494.144013722069,89.9544395679964,2663.905498272022,2794.780922950109,1.0981219460698393,8.49,0.0,0.7133333333333334,0.8166666666666667,0.18729817007534985,0.40218785560049136,2818.749500148814,0.39422408580228485,0.4262798769785866,0.0,0.6854144241119483,0.3145855758880517,-0.19999999999999996,-0.1337633763415582,0.1337633763415582,0.0,0,0.0,-0.7740089821486577,-2574.7412535607536,-2178.650619351936,0.0,-924.8251415706139,-644.4154900450353,0.0,983.7340509847071,1253.9068618967722,0.0,0.6633333333333333,0.7633333333333333,0.0,False,False,False
PPO,severe_stress,OBSERVABLE_ONLY,300,3,900,6690,-2932.2645268836354,-2700.448105543057,-1280.8395876998673,301.69936204241293,1532.1957272362781,50.34322250600163,1560.0935789445286,91.33136023923917,3162.926769739855,3423.446592789948,1.073986548903881,6.723333333333334,0.0,0.9533333333333334,0.85,0.30358744394618836,0.5572261756156897,2922.1787550596537,0.6083440283214894,0.5754163183972731,0.0,0.9044843049327355,0.09551569506726458,-0.19999999999999996,-0.179463505615551,0.179463505615551,0.0,0,0.0,-0.7225282841210576,-3125.588011220544,-2756.097055446762,0.0,-1405.9881464493105,-1181.1330747910413,0.0,1431.57867582338,1651.2154479595629,0.0,0.93,0.9733333333333334,1.3597399555105182e-16,True,False,False
Static,baseline,OBSERVABLE_ONLY,300,1,300,4322,-5588.648343483968,-4738.270500430295,-1379.3397643061305,1012.6403651611513,2237.25739703213,154.7227324351519,4089.38221784438,119.92636133345808,4664.724156353401,7312.6447297424465,0.6610157926194086,0.0,0.0,0.64,0.7466666666666667,0.16057380842202684,0.8136417306585275,6355.844877932187,0.4361990227498852,0.47822894922594883,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-6186.930010329397,-5087.594909879634,0.0,-1640.6793386687557,-1078.3214515907673,0.0,1972.7807202318136,2492.7684854700847,0.0,0.5814166666666667,0.6966666666666667,0.0,False,True,False
Static,severe_stress,OBSERVABLE_ONLY,300,1,300,2720,-5679.464689771372,-5025.696192052137,-2494.2255064174983,538.2997494255627,2940.479387698337,92.04586814472404,3073.8566837582257,111.38249959564801,4556.046322862403,7312.6447297424465,0.646918746253583,0.0,0.0,0.9133333333333333,0.8233333333333334,0.26875,1.0693882345171404,5853.641780421374,0.6069123492338309,0.6627399265853248,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-6086.995605975787,-5302.92573824355,0.0,-2714.2236014381633,-2302.0761475096765,0.0,2738.294137665113,3164.6356639164137,0.0,0.88,0.9450833333333333,0.0,True,True,True
