policy,net_economic_value,revenue,credit_loss,default_rate,mean_limit,mean_utilization
AlwaysDecrease20,-779.4278188459028,385.2934883653279,1105.8893872250517,0.7133333333333334,2794.780922950109,1.0981219460698393
MyopicEconomic,-1285.2452738069612,1066.1592244536012,2191.299451576829,0.57,11174.149301597086,0.4731598475959587
PDThreshold,-880.4733649941039,862.1158069497907,1614.3036137789038,0.63,7189.631876436078,0.7078112404754119
PPO,-779.427818845903,385.2934883653278,1105.8893872250517,0.7133333333333334,2794.780922950109,1.0981219460698393
Static,-1379.3397643061303,1012.6403651611512,2237.25739703213,0.64,7312.6447297424465,0.6610157926194086
