policy,reference,scenario,metric,difference,lower,upper,fraction_customers_positive,information_set
PPO,Static,severe_stress,net_economic_value,1213.3859187176317,1106.9396621742205,1331.3993223291163,0.89,OBSERVABLE_ONLY
PPO,Static,severe_stress,credit_loss,-1408.2836604620588,-1537.3490661309347,-1288.9531471255004,0.056666666666666664,OBSERVABLE_ONLY
PPO,Static,severe_stress,defaulted,0.04,0.02,0.06,0.04,OBSERVABLE_ONLY
AlwaysDecrease20,MyopicEconomic,severe_stress,cumulative_reward,3012.293481319342,2652.0919646364537,3364.4947262248374,0.9066666666666666,OBSERVABLE_ONLY
AlwaysDecrease20,MyopicEconomic,severe_stress,net_economic_value,1149.7202336306839,999.1840108885699,1304.3498813658389,0.8066666666666666,OBSERVABLE_ONLY
AlwaysDecrease20,MyopicEconomic,severe_stress,credit_loss,-1394.620306934074,-1544.0359471015304,-1229.2456495752988,0.10333333333333333,OBSERVABLE_ONLY
AlwaysDecrease20,MyopicEconomic,severe_stress,defaulted,0.08,0.05,0.11333333333333333,0.08,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,severe_stress,cumulative_reward,1309.9206307258892,1046.306215782775,1557.3435639227446,0.6966666666666667,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,severe_stress,net_economic_value,477.50088181101523,347.6446426933469,573.0751281803826,0.73,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,severe_stress,credit_loss,-576.1107575518482,-676.7789163667935,-441.6139538121983,0.23,OBSERVABLE_ONLY
PDThreshold,MyopicEconomic,severe_stress,defaulted,0.043333333333333335,0.023333333333333334,0.07,0.043333333333333335,OBSERVABLE_ONLY
PPO,MyopicEconomic,severe_stress,cumulative_reward,3012.2934813193424,2686.070498541656,3330.624381770504,0.9066666666666666,OBSERVABLE_ONLY
PPO,MyopicEconomic,severe_stress,net_economic_value,1149.7202336306839,994.1729015240959,1294.8207565029616,0.8066666666666666,OBSERVABLE_ONLY
PPO,MyopicEconomic,severe_stress,credit_loss,-1394.620306934074,-1543.395538623094,-1224.009484287928,0.10333333333333333,OBSERVABLE_ONLY
PPO,MyopicEconomic,severe_stress,defaulted,0.08,0.051583333333333335,0.11174999999999992,0.08,OBSERVABLE_ONLY
Static,MyopicEconomic,severe_stress,cumulative_reward,265.0933184316048,31.71341664971733,460.4367332803511,0.44666666666666666,OBSERVABLE_ONLY
Static,MyopicEconomic,severe_stress,net_economic_value,-63.66568508694768,-191.80620008191667,31.06730637762593,0.5,OBSERVABLE_ONLY
Static,MyopicEconomic,severe_stress,credit_loss,13.663353527984937,-78.46746341068967,142.62664896572483,0.45666666666666667,OBSERVABLE_ONLY
Static,MyopicEconomic,severe_stress,defaulted,0.04,0.02,0.06508333333333326,0.04,OBSERVABLE_ONLY
