policy,policy_seed,replicate,metric,clipping,IS,WIS,ESS,mean_weight,max_weight,weight_p99,nonzero_weights,zero_weight_fraction,IS_lower,IS_upper,IS_valid_bootstraps,WIS_lower,WIS_upper,WIS_valid_bootstraps,unreliable,episodes,true_MC_value,MC_standard_error,MC_lower,MC_upper,customers,IS_error,IS_covers_MC_point,WIS_error,WIS_covers_MC_point
SoftPDThreshold,-1,0,cumulative_reward,20.0,-4039.577728635748,-4245.214796222873,349.1088466732741,0.951560267864399,6.698699148027748,4.245680677107118,600,0.0,-4383.03713946834,-3645.6516244475374,400,-4537.679734147147,-3932.97021463748,400,False,600,-4056.4473529690804,75.70146221106306,-4201.8759946626415,-3909.628425416655,2000,16.869624333332467,True,-188.7674432537924,True
Static,-1,1,net_economic_value,none,-755.4495286681203,-2281.841540214898,2.0471810507045927,0.3310701095383573,135.52527156068803,4.166666666666666,7,0.9883333333333333,-1830.8437573670503,-75.82985721166501,400,-4543.094816252058,-1612.4054921412394,399,True,600,-1306.9756689475205,50.61578745178668,-1408.9221336881667,-1205.7495203821013,2000,551.5261402794002,True,-974.8658712673775,False
Static,-1,1,net_economic_value,20.0,-386.32752918714266,-2788.8048359948652,5.283522300684139,0.13852799027054397,20.0,4.166666666666666,7,0.9883333333333333,-837.6721270381922,-73.01486513734336,400,-4543.094816252058,-1492.3129667539972,399,True,600,-1306.9756689475205,50.61578745178668,-1408.9221336881667,-1205.7495203821013,2000,920.6481397603778,False,-1481.8291670473448,False
Static,-1,1,cumulative_reward,none,-1244.2199986420687,-3758.176781277547,2.0471810507045927,0.3310701095383573,135.52527156068803,4.166666666666666,7,0.9883333333333333,-3161.60621862862,-95.92783247151715,400,-6249.0808686084,-2089.720046380586,399,True,600,-5165.54790778983,98.55534458077524,-5350.284393416542,-4990.200118591346,2000,3921.327909147761,False,1407.371126512283,True
Static,-1,1,cumulative_reward,20.0,-551.8904554173907,-3983.963488819505,5.283522300684139,0.13852799027054397,20.0,4.166666666666666,7,0.9883333333333333,-1213.175902254253,-95.92783247151715,400,-6382.562916209849,-2089.720046380586,399,True,600,-5165.54790778983,98.55534458077524,-5350.284393416542,-4990.200118591346,2000,4613.657452372439,False,1181.5844189703248,True
AlwaysDecrease20,-1,1,net_economic_value,none,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,400,,,0,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,770.6019434141261,False,,False
AlwaysDecrease20,-1,1,net_economic_value,20.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,400,,,0,True,600,-770.6019434141261,26.68295887137511,-826.5190192941402,-717.8267698126256,2000,770.6019434141261,False,,False
AlwaysDecrease20,-1,1,cumulative_reward,none,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,400,,,0,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2298.8941332380678,False,,False
AlwaysDecrease20,-1,1,cumulative_reward,20.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,400,,,0,True,600,-2298.8941332380678,41.353532289501544,-2376.563357212008,-2218.460834510327,2000,2298.8941332380678,False,,False
PDThreshold,-1,1,net_economic_value,none,-953.4323675254278,-2207.9086869208,2.984300392788978,0.43182599587264026,135.52527156068803,5.1652892561983474,16,0.9733333333333334,-2022.0483929679328,-224.12829249642147,400,-3303.0864500614543,-1953.7338101292803,400,True,600,-736.8796588685249,38.9524208481591,-814.9149860469875,-659.6949642041578,2000,-216.55270865690295,True,-1471.029028052275,False
PDThreshold,-1,1,net_economic_value,20.0,-439.6265925970819,-2562.5866400628506,8.471937533763192,0.17155579667983425,20.0,5.1652892561983474,16,0.9733333333333334,-732.0035523463176,-168.37051713301798,400,-3573.1518469876382,-1993.0622775698394,400,True,600,-736.8796588685249,38.9524208481591,-814.9149860469875,-659.6949642041578,2000,297.25306627144295,False,-1825.7069811943256,False
