stage,policy,seed,seconds,steps,steps_per_second,policy_inference_ms
mc,Static,-1,77.82332940003835,28740,369.2980012749986,0.10411827779642682
mc,AlwaysDecrease20,-1,68.04862160002813,24718,363.2402746566403,0.10019306618533712
mc,PDThreshold,-1,72.34981039992999,28185,389.56563734170163,0.10198202578201215
mc,UtilizationPD,-1,74.87312610005029,28120,375.56866481605493,0.11372260343128415
mc,MyopicEconomic,-1,82.00984069996048,31555,384.7708973786021,0.2914186460927431
mc,PPO,101,83.26346740010194,24718,296.86488891008804,0.6775551787077206
mc,PPO,202,78.66396300005727,24718,314.22266381344156,0.6450962735869675
mc,PPO,303,79.44374689995311,24718,311.1383962179985,0.6402214010410675
mc,PPO,404,81.69180310005322,24718,302.5762568825451,0.6648095925400358
mc,PPO,505,83.52556740003638,24718,295.9333383707039,0.6722882354746335
mc,PPO_without_PD,101,83.23432179994415,24718,296.96884008270473,0.6749186701668713
mc,PPO_without_PD,202,75.94240590010304,24718,325.48349906789645,0.6171226401966904
mc,PPO_without_PD,303,77.03792929998599,24718,320.8549376210258,0.6258976820640287
mc,PPO_without_PD,404,82.07305020000786,24718,301.170724613786,0.6724615543542694
mc,PPO_without_PD,505,76.65631810005289,24718,322.4522206732878,0.6191553642361566
mc,Behavior,-1,85.31276820006315,29102,341.12127192677895,0.5753615976606453
mc,SoftPDThreshold,-1,101.54993510001805,28905,284.63829121634626,1.223495077258667
logging,Behavior,0,24.612027500057593,8883,360.9210984336505,0.4253509397499266
logging,Behavior,1,24.353865399956703,8993,369.2637637726284,0.41611867061896207
logging,Behavior,2,23.244726500008255,8713,374.8377078128627,0.4114185810346927
logging,Behavior,3,23.909735599998385,8865,370.76947015677575,0.41442462538610103
logging,Behavior,4,23.41928969998844,8729,372.72693202152533,0.41127217350085293
